cidade,aids
313000 Ibituruna,1
313005 Icaraí de Minas,5
313010 Igarapé,35
313020 Igaratinga,5
313030 Iguatama,3
313050 Ilicínea,2
313055 Imbé de Minas,2
313060 Inconfidentes,3
313070 Indianópolis,2
313090 Inhapim,3
313100 Inhaúma,5
313115 Ipaba,5
313120 Ipanema,3
313130 Ipatinga,137
313140 Ipiaçu,4
313150 Ipuiúna,3
313160 Iraí de Minas,6
313170 Itabira,45
313180 Itabirinha,4
313190 Itabirito,30
313210 Itacarambi,2
313220 Itaguara,3
313230 Itaipé,3
313240 Itajubá,37
313250 Itamarandiba,8
313260 Itamarati de Minas,1
313270 Itambacuri,11
313300 Itamonte,7
313320 Itanhomi,1
313330 Itaobim,12
313340 Itapagipe,5
313350 Itapecerica,4
313360 Itapeva,4
313370 Itatiaiuçu,4
313375 Itaú de Minas,4
313380 Itaúna,60
313400 Itinga,4
313410 Itueta,3
313420 Ituiutaba,78
313430 Itumirim,1
313440 Iturama,21
313450 Itutinga,1
313460 Jaboticatubas,5
313470 Jacinto,6
313480 Jacuí,4
313490 Jacutinga,2
313505 Jaíba,3
313507 Jampruca,1
313510 Janaúba,13
313520 Januária,18
313545 Jenipapo de Minas,4
313550 Jequeri,8
313560 Jequitaí,1
313570 Jequitibá,3
313580 Jequitinhonha,7
313600 Joaíma,3
313620 João Monlevade,40
313630 João Pinheiro,15
313640 Joaquim Felício,1
313650 Jordânia,2
313655 José Raydan,1
313657 Josenópolis,1
313665 Juatuba,9
313670 Juiz de Fora,749
313680 Juramento,1
313690 Juruaia,5
313700 Ladainha,2
313710 Lagamar,1
313720 Lagoa da Prata,35
313730 Lagoa dos Patos,2
313740 Lagoa Dourada,1
313750 Lagoa Formosa,14
313753 Lagoa Grande,2
313760 Lagoa Santa,39
313770 Lajinha,1
313780 Lambari,8
313800 Laranjal,3
313820 Lavras,54
313830 Leandro Ferreira,2
313835 Leme do Prado,1
313840 Leopoldina,30
313850 Liberdade,2
313860 Lima Duarte,6
313862 Limeira do Oeste,4
313865 Lontra,1
313867 Luisburgo,3
313868 Luislândia,1
313870 Luminárias,1
313880 Luz,18
313890 Machacalis,5
313900 Machado,4
313920 Malacacheta,5
313930 Manga,6
313940 Manhuaçu,47
313950 Manhumirim,13
313960 Mantena,13
313980 Mar de Espanha,17
313970 Maravilhas,4
313990 Maria da Fé,2
314000 Mariana,34
314010 Marilac,3
314015 Mário Campos,7
314020 Maripá de Minas,1
314050 Martinho Campos,9
314053 Martins Soares,2
314070 Mateus Leme,14
317150 Mathias Lobato,2
314080 Matias Barbosa,18
314085 Matias Cardoso,1
314090 Matipó,2
314110 Matozinhos,36
314120 Matutina,2
314140 Medina,9
314150 Mendes Pimentel,1
314160 Mercês,1
314170 Mesquita,4
314180 Minas Novas,8
314200 Mirabela,2
314210 Miradouro,4
314220 Miraí,6
314240 Moema,5
314260 Monsenhor Paulo,2
314270 Montalvânia,4
314280 Monte Alegre de Minas,5
314290 Monte Azul,6
314300 Monte Belo,4
314310 Monte Carmelo,18
314315 Monte Formoso,2
314320 Monte Santo de Minas,1
314340 Monte Sião,4
314330 Montes Claros,174
314350 Morada Nova de Minas,12
314380 Munhoz,2
314390 Muriaé,139
314400 Mutum,4
314410 Muzambinho,5
314430 Nanuque,30
314435 Naque,4
314437 Natalândia,3
314450 Nazareno,3
314460 Nepomuceno,6
314470 Nova Era,7
314480 Nova Lima,60
314490 Nova Módica,1
314500 Nova Ponte,10
314505 Nova Porteirinha,2
314510 Nova Resende,4
314520 Nova Serrana,59
313660 Nova União,3
314530 Novo Cruzeiro,8
314535 Novo Oriente de Minas,3
314545 Olhos-d'Água,3
314560 Oliveira,50
314570 Oliveira Fortes,2
314580 Onça de Pitangui,1
314585 Oratórios,2
314587 Orizânia,5
314590 Ouro Branco,14
314600 Ouro Fino,13
314610 Ouro Preto,30
314620 Ouro Verde de Minas,2
314630 Padre Paraíso,32
314640 Paineiras,2
314650 Pains,2
314670 Palma,1
314675 Palmópolis,2
314690 Papagaios,6
314710 Pará de Minas,52
314700 Paracatu,33
314720 Paraguaçu,2
314730 Paraisópolis,13
314740 Paraopeba,34
314760 Passa Quatro,9
314770 Passa Tempo,4
314790 Passos,49
314795 Patis,2
314800 Patos de Minas,111
314810 Patrocínio,31
314820 Patrocínio do Muriaé,2
314830 Paula Cândido,1
314850 Pavão,3
314860 Peçanha,1
314870 Pedra Azul,8
314890 Pedra do Indaiá,1
314900 Pedra Dourada,2
314910 Pedralva,2
314930 Pedro Leopoldo,39
314950 Pequeri,2
314960 Pequi,2
314970 Perdigão,2
314980 Perdizes,4
314990 Perdões,3
314995 Periquito,1
315000 Pescador,1
315010 Piau,1
315020 Piedade de Ponte Nova,4
315050 Pimenta,1
315060 Piracema,4
315080 Piranga,2
315090 Piranguçu,2
315100 Piranguinho,1
315110 Pirapetinga,7
315120 Pirapora,39
315130 Piraúba,2
315140 Pitangui,11
315150 Piumhi,9
315160 Planura,12
315180 Poços de Caldas,69
315190 Pocrane,1
315200 Pompéu,23
315210 Ponte Nova,30
315217 Ponto dos Volantes,4
315220 Porteirinha,3
315240 Poté,2
315250 Pouso Alegre,129
315260 Pouso Alto,5
315270 Prados,2
315280 Prata,28
315290 Pratápolis,4
315300 Pratinha,1
315330 Presidente Kubitschek,1
315340 Presidente Olegário,9
315360 Prudente de Morais,8
315370 Quartel Geral,3
315390 Raposos,10
315400 Raul Soares,6
315410 Recreio,3
315415 Reduto,1
315420 Resende Costa,1
315430 Resplendor,8
315440 Ressaquinha,3
315445 Riachinho,3
315460 Ribeirão das Neves,245
315470 Ribeirão Vermelho,1
315480 Rio Acima,4
315490 Rio Casca,9
315510 Rio do Prado,3
315520 Rio Espera,1
315530 Rio Manso,1
315540 Rio Novo,8
315550 Rio Paranaíba,7
315560 Rio Pardo de Minas,2
315570 Rio Piracicaba,2
315580 Rio Pomba,8
315590 Rio Preto,1
315620 Rochedo de Minas,1
315630 Rodeiro,10
315640 Romaria,3
315660 Rubim,2
315670 Sabará,104
315680 Sabinópolis,1
315690 Sacramento,9
315700 Salinas,4
315720 Santa Bárbara,6
315727 Santa Bárbara do Monte Verde,1
315730 Santa Bárbara do Tugúrio,1
315733 Santa Cruz de Minas,3
315750 Santa Efigênia de Minas,1
315760 Santa Fé de Minas,2
315765 Santa Helena de Minas,1
315770 Santa Juliana,8
315780 Santa Luzia,171
315790 Santa Margarida,3
315800 Santa Maria de Itabira,2
315810 Santa Maria do Salto,1
315820 Santa Maria do Suaçuí,6
315920 Santa Rita de Caldas,1
315940 Santa Rita de Ibitipoca,1
315935 Santa Rita de Minas,2
315950 Santa Rita do Itueto,1
315960 Santa Rita do Sapucaí,16
315970 Santa Rosa da Serra,1
315980 Santa Vitória,11
315830 Santana da Vargem,1
315840 Santana de Cataguases,1
315850 Santana de Pirapama,1
315860 Santana do Deserto,2
315880 Santana do Jacaré,3
315890 Santana do Manhuaçu,1
315895 Santana do Paraíso,17
315900 Santana do Riacho,1
315910 Santana dos Montes,1
315990 Santo Antônio do Amparo,20
316030 Santo Antônio do Jacinto,2
316040 Santo Antônio do Monte,13
316070 Santos Dumont,23
316095 São Domingos das Dores,1
316100 São Domingos do Prata,5
316105 São Félix de Minas,1
316110 São Francisco,13
316120 São Francisco de Paula,4
316130 São Francisco de Sales,2
316140 São Francisco do Glória,5
316150 São Geraldo,5
316160 São Geraldo da Piedade,2
316165 São Geraldo do Baixio,2
316180 São Gonçalo do Pará,3
316190 São Gonçalo do Rio Abaixo,6
312550 São Gonçalo do Rio Preto,1
316200 São Gonçalo do Sapucaí,11
316210 São Gotardo,18
316220 São João Batista do Glória,1
316225 São João da Lagoa,1
316230 São João da Mata,2
316240 São João da Ponte,1
316245 São João das Missões,3
316250 São João del Rei,42
316255 São João do Manhuaçu,3
316257 São João do Manteninha,2
316265 São João do Pacuí,1
316270 São João do Paraíso,1
316280 São João Evangelista,3
316290 São João Nepomuceno,8
316292 São Joaquim de Bicas,33
316294 São José da Barra,3
316295 São José da Lapa,21
316300 São José da Safira,1
316310 São José da Varginha,1
316320 São José do Alegre,1
316330 São José do Divino,1
316340 São José do Goiabal,2
316370 São Lourenço,12
316380 São Miguel do Anta,1
316390 São Pedro da União,1
316400 São Pedro dos Ferros,3
316420 São Romão,1
316440 São Sebastião da Bela Vista,3
316450 São Sebastião do Maranhão,2
316460 São Sebastião do Oeste,3
316470 São Sebastião do Paraíso,48
316490 São Sebastião do Rio Verde,1
316520 São Thomé das Letras,2
316500 São Tiago,3
316510 São Tomás de Aquino,2
316530 São Vicente de Minas,1
316550 Sardoá,1
316553 Sarzedo,24
316557 Senador Amaral,1
316570 Senador Firmino,1
316580 Senador José Bento,1
316620 Senhora dos Remédios,3
316640 Seritinga,3
316650 Serra Azul de Minas,3
316680 Serra do Salitre,3
316670 Serra dos Aimorés,3
316690 Serrania,5
316695 Serranópolis de Minas,1
316710 Serro,3
316720 Sete Lagoas,268
316750 Simão Pereira,2
316760 Simonésia,10
316790 Tabuleiro,2
316800 Taiobeiras,1
316805 Taparuba,1
316810 Tapira,1
316830 Taquaraçu de Minas,1
316840 Tarumirim,2
316850 Teixeiras,6
316860 Teófilo Otoni,111
316870 Timóteo,40
316880 Tiradentes,9
316900 Tocantins,9
316905 Tocos do Moji,1
316920 Tombos,7
316930 Três Corações,50
316935 Três Marias,16
316940 Três Pontas,35
316950 Tumiritinga,1
316960 Tupaciguara,18
316970 Turmalina,3
316990 Ubá,69
317000 Ubaí,4
317005 Ubaporanga,2
317010 Uberaba,327
317020 Uberlândia,972
317030 Umburatiba,1
317040 Unaí,20
317043 União de Minas,2
317047 Uruana de Minas,1
317050 Urucânia,6
317070 Varginha,89
317075 Varjão de Minas,3
317080 Várzea da Palma,9
317090 Varzelândia,2
317100 Vazante,8
317110 Veríssimo,1
317120 Vespasiano,81
317130 Viçosa,40
317140 Vieiras,1
317160 Virgem da Lapa,2
317180 Virginópolis,2
317190 Virgolândia,3
317200 Visconde do Rio Branco,29
317210 Volta Grande,4
310000 Município ignorado - MG,1
320010 Afonso Cláudio,8
320016 Água Doce do Norte,4
320013 Águia Branca,3
320020 Alegre,27
320030 Alfredo Chaves,8
320035 Alto Rio Novo,4
320040 Anchieta,18
320050 Apiacá,3
320060 Aracruz,73
320070 Atilio Vivacqua,2
320080 Baixo Guandu,17
320090 Barra de São Francisco,26
320100 Boa Esperança,2
320110 Bom Jesus do Norte,10
320115 Brejetuba,2
320120 Cachoeiro de Itapemirim,201
320130 Cariacica,358
320140 Castelo,32
320150 Colatina,100
320160 Conceição da Barra,32
320170 Conceição do Castelo,1
320190 Domingos Martins,8
320200 Dores do Rio Preto,7
320210 Ecoporanga,14
320220 Fundão,6
320225 Governador Lindenberg,3
320230 Guaçuí,20
320240 Guarapari,119
320245 Ibatiba,19
320250 Ibiraçu,7
320255 Ibitirama,2
320260 Iconha,6
320265 Irupi,2
320270 Itaguaçu,2
320280 Itapemirim,27
320290 Itarana,3
320300 Iúna,8
320305 Jaguaré,20
320310 Jerônimo Monteiro,8
320313 João Neiva,7
320316 Laranja da Terra,2
320320 Linhares,114
320330 Mantenópolis,4
320332 Marataízes,36
320334 Marechal Floriano,6
320335 Marilândia,3
320340 Mimoso do Sul,6
320350 Montanha,22
320360 Mucurici,6
320370 Muniz Freire,6
320380 Muqui,15
320390 Nova Venécia,43
320400 Pancas,8
320405 Pedro Canário,17
320410 Pinheiros,22
320420 Piúma,14
320425 Ponto Belo,1
320430 Presidente Kennedy,12
320435 Rio Bananal,5
320440 Rio Novo do Sul,9
320450 Santa Leopoldina,6
320455 Santa Maria de Jetibá,10
320460 Santa Teresa,9
320465 São Domingos do Norte,6
320470 São Gabriel da Palha,16
320480 São José do Calçado,7
320490 São Mateus,139
320495 São Roque do Canaã,3
320500 Serra,584
320501 Sooretama,19
320503 Vargem Alta,10
320506 Venda Nova do Imigrante,5
320510 Viana,82
320515 Vila Pavão,3
320517 Vila Valério,9
320520 Vila Velha,622
320530 Vitória,449
320000 Município ignorado - ES,1
330010 Angra dos Reis,172
330015 Aperibé,5
330020 Araruama,114
330022 Areal,6
330023 Armação dos Búzios,40
330025 Arraial do Cabo,27
330030 Barra do Piraí,80
330040 Barra Mansa,156
330045 Belford Roxo,598
330050 Bom Jardim,16
330060 Bom Jesus do Itabapoana,41
330070 Cabo Frio,219
330080 Cachoeiras de Macacu,33
330090 Cambuci,8
330100 Campos dos Goytacazes,583
330110 Cantagalo,11
330093 Carapebus,11
330115 Cardoso Moreira,9
330120 Carmo,13
330130 Casimiro de Abreu,26
330095 Comendador Levy Gasparian,3
330140 Conceição de Macabu,10
330150 Cordeiro,16
330160 Duas Barras,2
330170 Duque de Caxias,1233
330180 Engenheiro Paulo de Frontin,6
330185 Guapimirim,91
330187 Iguaba Grande,33
330190 Itaboraí,268
330200 Itaguaí,121
330205 Italva,4
330210 Itaocara,10
330220 Itaperuna,77
330225 Itatiaia,25
330227 Japeri,133
330230 Laje do Muriaé,2
330240 Macaé,260
330245 Macuco,10
330250 Magé,288
330260 Mangaratiba,37
330270 Maricá,152
330280 Mendes,4
330285 Mesquita,190
330290 Miguel Pereira,13
330300 Miracema,23
330310 Natividade,11
330320 Nilópolis,182
330330 Niterói,733
330340 Nova Friburgo,137
330350 Nova Iguaçu,1275
330360 Paracambi,27
330370 Paraíba do Sul,36
330380 Parati,28
330385 Paty do Alferes,13
330390 Petrópolis,234
330395 Pinheiral,22
330400 Piraí,21
330410 Porciúncula,18
330411 Porto Real,17
330412 Quatis,11
330414 Queimados,191
330415 Quissamã,16
330420 Resende,123
330430 Rio Bonito,55
330440 Rio Claro,9
330450 Rio das Flores,9
330452 Rio das Ostras,214
330455 Rio de Janeiro,10402
330460 Santa Maria Madalena,3
330470 Santo Antônio de Pádua,23
330480 São Fidélis,21
330475 São Francisco de Itabapoana,25
330490 São Gonçalo,1279
330500 São João da Barra,32
330510 São João de Meriti,612
330513 São José de Ubá,3
330515 São José do Vale do Rio Preto,10
330520 São Pedro da Aldeia,72
330530 São Sebastião do Alto,3
330540 Sapucaia,18
330550 Saquarema,96
330555 Seropédica,69
330560 Silva Jardim,10
330570 Sumidouro,2
330575 Tanguá,25
330580 Teresópolis,142
330590 Trajano de Morais,3
330600 Três Rios,118
330610 Valença,34
330615 Varre-Sai,4
330620 Vassouras,35
330630 Volta Redonda,377
330000 Município ignorado - RJ,60
350010 Adamantina,17
350020 Adolfo,7
350030 Aguaí,15
350040 Águas da Prata,1
350050 Águas de Lindóia,9
350055 Águas de Santa Bárbara,1
350060 Águas de São Pedro,1
350070 Agudos,32
350075 Alambari,2
350090 Altair,2
350100 Altinópolis,5
350110 Alto Alegre,2
350115 Alumínio,2
350120 Álvares Florence,1
350130 Álvares Machado,14
350140 Álvaro de Carvalho,8
350150 Alvinlândia,1
350160 Americana,149
350170 Américo Brasiliense,33
350180 Américo de Campos,2
350190 Amparo,45
350200 Analândia,2
350210 Andradina,37
350220 Angatuba,5
350230 Anhembi,2
350240 Anhumas,1
350250 Aparecida,32
350260 Aparecida d'Oeste,2
350270 Apiaí,13
350275 Araçariguama,11
350280 Araçatuba,180
350290 Araçoiaba da Serra,13
350300 Aramina,2
350310 Arandu,5
350315 Arapeí,1
350320 Araraquara,179
350330 Araras,71
350335 Arco-Íris,1
350340 Arealva,2
350360 Areiópolis,9
350370 Ariranha,6
350380 Artur Nogueira,22
350390 Arujá,59
350400 Assis,49
350410 Atibaia,77
350420 Auriflama,4
350430 Avaí,3
350440 Avanhandava,6
350450 Avaré,61
350460 Bady Bassitt,20
350470 Balbinos,4
350480 Bálsamo,7
350490 Bananal,1
350510 Barbosa,3
350520 Bariri,12
350530 Barra Bonita,17
350535 Barra do Chapéu,3
350540 Barra do Turvo,1
350550 Barretos,168
350560 Barrinha,15
350570 Barueri,259
350580 Bastos,6
350590 Batatais,30
350600 Bauru,408
350610 Bebedouro,99
350620 Bento de Abreu,1
350630 Bernardino de Campos,5
350635 Bertioga,46
350640 Bilac,3
350650 Birigui,87
350660 Biritiba-Mirim,8
350670 Boa Esperança do Sul,2
350680 Bocaina,4
350690 Bofete,3
350700 Boituva,46
350710 Bom Jesus dos Perdões,5
350715 Bom Sucesso de Itararé,2
350730 Boracéia,2
350740 Borborema,5
350745 Borebi,2
350750 Botucatu,82
350760 Bragança Paulista,95
350770 Braúna,3
350775 Brejo Alegre,2
350780 Brodowski,16
350790 Brotas,13
350800 Buri,5
350810 Buritama,11
350820 Buritizal,1
350830 Cabrália Paulista,2
350840 Cabreúva,31
350850 Caçapava,55
350860 Cachoeira Paulista,25
350870 Caconde,3
350880 Cafelândia,1
350890 Caiabu,2
350900 Caieiras,46
350910 Caiuá,4
350920 Cajamar,49
350925 Cajati,27
350930 Cajobi,4
350940 Cajuru,18
350945 Campina do Monte Alegre,2
350950 Campinas,985
350960 Campo Limpo Paulista,62
350970 Campos do Jordão,18
350980 Campos Novos Paulista,2
350990 Cananéia,8
350995 Canas,6
351000 Cândido Mota,11
351010 Cândido Rodrigues,1
351015 Canitar,1
351020 Capão Bonito,20
351030 Capela do Alto,26
351040 Capivari,59
351050 Caraguatatuba,197
351060 Carapicuíba,367
351070 Cardoso,6
351080 Casa Branca,13
351090 Cássia dos Coqueiros,6
351100 Castilho,4
351110 Catanduva,84
351120 Catiguá,2
351130 Cedral,5
351140 Cerqueira César,15
351150 Cerquilho,13
351160 Cesário Lange,3
351170 Charqueada,3
355720 Chavantes,4
351190 Clementina,2
351200 Colina,19
351210 Colômbia,5
351220 Conchal,12
351230 Conchas,10
351240 Cordeirópolis,14
351250 Coroados,3
351260 Coronel Macedo,1
351270 Corumbataí,1
351280 Cosmópolis,46
351290 Cosmorama,3
351300 Cotia,160
351310 Cravinhos,37
351320 Cristais Paulista,6
351340 Cruzeiro,60
351350 Cubatão,100
351360 Cunha,5
351370 Descalvado,17
351380 Diadema,326
351385 Dirce Reis,1
351390 Divinolândia,3
351400 Dobrada,1
351410 Dois Córregos,8
351420 Dolcinópolis,3
351430 Dourado,3
351440 Dracena,27
351450 Duartina,4
351460 Dumont,6
351470 Echaporã,2
351480 Eldorado,2
351490 Elias Fausto,15
351492 Elisiário,1
351495 Embaúba,1
351500 Embu,170
351510 Embu-Guaçu,23
351512 Emilianópolis,3
351515 Engenheiro Coelho,4
351518 Espírito Santo do Pinhal,13
351519 Espírito Santo do Turvo,1
355730 Estiva Gerbi,9
351520 Estrela d'Oeste,1
351535 Euclides da Cunha Paulista,1
351540 Fartura,4
351560 Fernando Prestes,4
351550 Fernandópolis,52
351570 Ferraz de Vasconcelos,118
351580 Flora Rica,1
351590 Floreal,2
351600 Flórida Paulista,6
351610 Florínia,8
351620 Franca,229
351630 Francisco Morato,127
351640 Franco da Rocha,120
351650 Gabriel Monteiro,1
351660 Gália,3
351670 Garça,13
351680 Gastão Vidigal,1
351685 Gavião Peixoto,2
351690 General Salgado,1
351700 Getulina,5
351710 Glicério,2
351720 Guaiçara,8
351730 Guaimbê,1
351740 Guaíra,25
351750 Guapiaçu,13
351760 Guapiara,1
351770 Guará,9
351780 Guaraçaí,2
351790 Guaraci,8
351810 Guarantã,1
351820 Guararapes,14
351830 Guararema,11
351840 Guaratinguetá,94
351850 Guareí,24
351860 Guariba,17
351870 Guarujá,366
351880 Guarulhos,959
351890 Guzolândia,3
351905 Holambra,5
351907 Hortolândia,191
351910 Iacanga,7
351920 Iacri,3
351925 Iaras,9
351930 Ibaté,13
351940 Ibirá,7
351960 Ibitinga,28
351970 Ibiúna,24
351980 Icém,6
351990 Iepê,4
352000 Igaraçu do Tietê,7
352010 Igarapava,17
352020 Igaratá,9
352030 Iguape,12
352042 Ilha Comprida,9
352044 Ilha Solteira,16
352040 Ilhabela,13
352050 Indaiatuba,171
352060 Indiana,2
352070 Indiaporã,4
352090 Ipaussu,4
352100 Iperó,22
352115 Ipiguá,3
352120 Iporanga,1
352130 Ipuã,6
352140 Iracemápolis,7
352150 Irapuã,1
352160 Irapuru,5
352170 Itaberá,4
352180 Itaí,20
352190 Itajobi,6
352200 Itaju,2
352210 Itanhaém,88
352215 Itaóca,1
352220 Itapecerica da Serra,80
352230 Itapetininga,114
352240 Itapeva,34
352250 Itapevi,177
352260 Itapira,37
352270 Itápolis,15
352280 Itaporanga,10
352290 Itapuí,4
352300 Itapura,4
352310 Itaquaquecetuba,207
352320 Itararé,20
352330 Itariri,4
352340 Itatiba,44
352350 Itatinga,10
352360 Itirapina,25
352390 Itu,139
352400 Itupeva,42
352410 Ituverava,41
352420 Jaborandi,4
352430 Jaboticabal,36
352440 Jacareí,181
352450 Jaci,5
352460 Jacupiranga,10
352470 Jaguariúna,40
352480 Jales,38
352490 Jambeiro,3
352500 Jandira,94
352510 Jardinópolis,30
352520 Jarinu,14
352530 Jaú,81
352540 Jeriquara,3
352550 Joanópolis,1
352560 João Ramalho,5
352570 José Bonifácio,38
352580 Júlio Mesquita,3
352590 Jundiaí,282
352600 Junqueirópolis,14
352610 Juquiá,4
352620 Juquitiba,11
352640 Laranjal Paulista,7
352650 Lavínia,13
352670 Leme,67
352680 Lençóis Paulista,27
352690 Limeira,188
352700 Lindóia,3
352710 Lins,68
352720 Lorena,88
352730 Louveira,17
352740 Lucélia,12
352760 Luís Antônio,3
352770 Luiziânia,2
352780 Lupércio,3
352790 Lutécia,1
352800 Macatuba,1
352810 Macaubal,1
352820 Macedônia,1
352840 Mairinque,18
352850 Mairiporã,36
352860 Manduri,2
352870 Marabá Paulista,10
352880 Maracaí,2
352885 Marapoama,1
352890 Mariápolis,1
352900 Marília,132
352910 Marinópolis,2
352920 Martinópolis,25
352930 Matão,27
352940 Mauá,299
352960 Meridiano,3
352970 Miguelópolis,6
352980 Mineiros do Tietê,8
353000 Mira Estrela,3
352990 Miracatu,11
353010 Mirandópolis,13
353020 Mirante do Paranapanema,6
353030 Mirassol,54
353040 Mirassolândia,1
353050 Mococa,23
353060 Mogi das Cruzes,280
353070 Mogi Guaçu,110
353080 Moji Mirim,49
353090 Mombuca,6
353100 Monções,2
353110 Mongaguá,59
353120 Monte Alegre do Sul,1
353130 Monte Alto,35
353140 Monte Aprazível,24
353150 Monte Azul Paulista,7
353160 Monte Castelo,1
353180 Monte Mor,50
353170 Monteiro Lobato,2
353190 Morro Agudo,6
353200 Morungaba,1
353205 Motuca,1
353210 Murutinga do Sul,1
353215 Nantes,1
353220 Narandiba,2
353240 Nazaré Paulista,9
353250 Neves Paulista,8
353260 Nhandeara,5
353270 Nipoã,4
353280 Nova Aliança,4
353282 Nova Campina,1
353286 Nova Castilho,1
353290 Nova Europa,3
353300 Nova Granada,7
353310 Nova Guataporanga,3
353320 Nova Independência,1
353330 Nova Luzitânia,1
353340 Nova Odessa,29
353325 Novais,3
353350 Novo Horizonte,20
353360 Nuporanga,3
353370 Ocauçu,1
353390 Olímpia,33
353400 Onda Verde,3
353410 Oriente,2
353420 Orindiúva,4
353430 Orlândia,6
353440 Osasco,563
353450 Oscar Bressane,2
353460 Osvaldo Cruz,20
353470 Ourinhos,80
353480 Ouro Verde,3
353475 Ouroeste,10
353490 Pacaembu,12
353500 Palestina,2
353510 Palmares Paulista,7
353520 Palmeira d'Oeste,9
353530 Palmital,11
353540 Panorama,11
353550 Paraguaçu Paulista,20
353560 Paraibuna,3
353570 Paraíso,3
353580 Paranapanema,4
353600 Parapuã,6
353610 Pardinho,1
353620 Pariquera-Açu,18
353625 Parisi,1
353630 Patrocínio Paulista,7
353640 Paulicéia,4
353650 Paulínia,74
353657 Paulistânia,2
353660 Paulo de Faria,8
353670 Pederneiras,20
353680 Pedra Bela,1
353700 Pedregulho,6
353710 Pedreira,26
353720 Pedro de Toledo,7
353730 Penápolis,24
353740 Pereira Barreto,26
353750 Pereiras,3
353760 Peruíbe,66
353770 Piacatu,1
353780 Piedade,18
353790 Pilar do Sul,9
353800 Pindamonhangaba,89
353810 Pindorama,5
353820 Pinhalzinho,9
353830 Piquerobi,1
353850 Piquete,3
353860 Piracaia,6
353870 Piracicaba,354
353880 Piraju,8
353890 Pirajuí,26
353900 Pirangi,10
353910 Pirapora do Bom Jesus,11
353920 Pirapozinho,16
353930 Pirassununga,42
353940 Piratininga,3
353950 Pitangueiras,26
353960 Planalto,3
353980 Poá,62
353990 Poloni,1
354000 Pompéia,7
354010 Pongaí,2
354020 Pontal,18
354025 Pontalinda,1
354030 Pontes Gestal,2
354040 Populina,1
354050 Porangaba,4
354060 Porto Feliz,28
354070 Porto Ferreira,30
354075 Potim,25
354080 Potirendaba,17
354085 Pracinha,9
354090 Pradópolis,5
354100 Praia Grande,287
354110 Presidente Alves,1
354120 Presidente Bernardes,5
354130 Presidente Epitácio,28
354140 Presidente Prudente,232
354150 Presidente Venceslau,23
354160 Promissão,10
354165 Quadra,2
354170 Quatá,11
354180 Queiroz,1
354190 Queluz,1
354200 Quintana,1
354210 Rafard,6
354220 Rancharia,23
354230 Redenção da Serra,1
354240 Regente Feijó,16
354250 Reginópolis,7
354260 Registro,35
354270 Restinga,5
354290 Ribeirão Bonito,4
354310 Ribeirão Corrente,3
354320 Ribeirão do Sul,2
354325 Ribeirão Grande,1
354330 Ribeirão Pires,63
354340 Ribeirão Preto,670
354370 Rincão,7
354380 Rinópolis,5
354390 Rio Claro,126
354400 Rio das Pedras,10
354410 Rio Grande da Serra,34
354420 Riolândia,5
354350 Riversul,1
354425 Rosana,5
354430 Roseira,3
354440 Rubiácea,2
354450 Rubinéia,3
354460 Sabino,2
354470 Sagres,1
354480 Sales,4
354490 Sales Oliveira,6
354500 Salesópolis,8
354510 Salmourão,2
354515 Saltinho,5
354520 Salto,79
354530 Salto de Pirapora,15
354540 Salto Grande,3
354550 Sandovalina,1
354560 Santa Adélia,1
354580 Santa Bárbara d'Oeste,147
354600 Santa Branca,6
354610 Santa Clara d'Oeste,3
354620 Santa Cruz da Conceição,2
354625 Santa Cruz da Esperança,1
354630 Santa Cruz das Palmeiras,6
354640 Santa Cruz do Rio Pardo,20
354650 Santa Ernestina,1
354660 Santa Fé do Sul,28
354670 Santa Gertrudes,8
354680 Santa Isabel,27
354690 Santa Lúcia,2
354710 Santa Mercedes,1
354740 Santa Rita d'Oeste,1
354750 Santa Rita do Passa Quatro,12
354760 Santa Rosa de Viterbo,6
354730 Santana de Parnaíba,76
354770 Santo Anastácio,14
354780 Santo André,486
354790 Santo Antônio da Alegria,2
354800 Santo Antônio de Posse,5
354805 Santo Antônio do Aracanguá,4
354810 Santo Antônio do Jardim,5
354820 Santo Antônio do Pinhal,3
354830 Santo Expedito,2
354850 Santos,564
354860 São Bento do Sapucaí,1
354870 São Bernardo do Campo,596
354880 São Caetano do Sul,97
354890 São Carlos,189
354910 São João da Boa Vista,36
354920 São João das Duas Pontes,2
354930 São João do Pau d'Alho,1
354940 São Joaquim da Barra,25
354950 São José da Bela Vista,2
354960 São José do Barreiro,2
354970 São José do Rio Pardo,21
354980 São José do Rio Preto,697
354990 São José dos Campos,578
354995 São Lourenço da Serra,9
355000 São Luís do Paraitinga,3
355010 São Manuel,7
355020 São Miguel Arcanjo,2
355030 São Paulo,13271
355040 São Pedro,35
355050 São Pedro do Turvo,4
355060 São Roque,44
355070 São Sebastião,52
355080 São Sebastião da Grama,2
355090 São Simão,10
355100 São Vicente,325
355110 Sarapuí,1
355140 Serra Azul,17
355160 Serra Negra,6
355150 Serrana,22
355170 Sertãozinho,97
355180 Sete Barras,9
355190 Severínia,3
355200 Silveiras,3
355210 Socorro,9
355220 Sorocaba,522
355230 Sud Mennucci,2
355240 Sumaré,177
355250 Suzano,165
355260 Tabapuã,13
355270 Tabatinga,4
355280 Taboão da Serra,219
355290 Taciba,2
355300 Taguaí,4
355310 Taiaçu,8
355320 Taiúva,12
