"cidade","tuberculose"
"292260 Nilo Peçanha",12
"292265 Nordestina",21
"292270 Nova Canaã",17
"292273 Nova Fátima",3
"292275 Nova Ibiá",16
"292280 Nova Itarana",15
"292285 Nova Redenção",7
"292290 Nova Soure",32
"292300 Nova Viçosa",58
"292303 Novo Horizonte",15
"292305 Novo Triunfo",18
"292310 Olindina",24
"292320 Oliveira dos Brejinhos",13
"292330 Ouriçangas",8
"292335 Ourolândia",32
"292340 Palmas de Monte Alto",13
"292350 Palmeiras",7
"292360 Paramirim",23
"292370 Paratinga",34
"292380 Paripiranga",27
"292390 Pau Brasil",24
"292400 Paulo Afonso",196
"292405 Pé de Serra",18
"292410 Pedrão",6
"292420 Pedro Alexandre",2
"292430 Piatã",9
"292440 Pilão Arcado",21
"292450 Pindaí",2
"292460 Pindobaçu",98
"292465 Pintadas",3
"292467 Piraí do Norte",12
"292470 Piripá",4
"292480 Piritiba",17
"292490 Planaltino",4
"292500 Planalto",17
"292510 Poções",49
"292520 Pojuca",54
"292525 Ponto Novo",19
"292530 Porto Seguro",348
"292540 Potiraguá",15
"292550 Prado",59
"292560 Presidente Dutra",10
"292570 Presidente Jânio Quadros",10
"292575 Presidente Tancredo Neves",25
"292580 Queimadas",32
"292590 Quijingue",25
"292593 Quixabeira",6
"292595 Rafael Jambeiro",24
"292600 Remanso",29
"292610 Retirolândia",13
"292620 Riachão das Neves",28
"292630 Riachão do Jacuípe",31
"292640 Riacho de Santana",20
"292650 Ribeira do Amparo",5
"292660 Ribeira do Pombal",85
"292665 Ribeirão do Largo",5
"292670 Rio de Contas",7
"292680 Rio do Antônio",1
"292690 Rio do Pires",5
"292700 Rio Real",35
"292710 Rodelas",6
"292720 Ruy Barbosa",28
"292730 Salinas da Margarida",15
"292740 Salvador",10391
"292750 Santa Bárbara",37
"292760 Santa Brígida",9
"292770 Santa Cruz Cabrália",84
"292780 Santa Cruz da Vitória",10
"292790 Santa Inês",9
"292805 Santa Luzia",20
"292810 Santa Maria da Vitória",48
"292840 Santa Rita de Cássia",19
"292850 Santa Teresinha",7
"292800 Santaluz",42
"292820 Santana",23
"292830 Santanópolis",5
"292860 Santo Amaro",131
"292870 Santo Antônio de Jesus",128
"292880 Santo Estêvão",66
"292890 São Desidério",30
"292895 São Domingos",6
"292910 São Felipe",24
"292900 São Félix",20
"292905 São Félix do Coribe",12
"292920 São Francisco do Conde",101
"292925 São Gabriel",24
"292930 São Gonçalo dos Campos",32
"292935 São José da Vitória",17
"292937 São José do Jacuípe",6
"292940 São Miguel das Matas",6
"292950 São Sebastião do Passé",85
"292960 Sapeaçu",23
"292970 Sátiro Dias",16
"292975 Saubara",13
"292980 Saúde",15
"292990 Seabra",39
"293000 Sebastião Laranjeiras",8
"293010 Senhor do Bonfim",158
"293020 Sento Sé",24
"293015 Serra do Ramalho",25
"293030 Serra Dourada",11
"293040 Serra Preta",9
"293050 Serrinha",133
"293060 Serrolândia",6
"293070 Simões Filho",343
"293075 Sítio do Mato",17
"293076 Sítio do Quinto",34
"293077 Sobradinho",15
"293080 Souto Soares",12
"293100 Tanhaçu",7
"293105 Tanque Novo",1
"293110 Tanquinho",6
"293120 Taperoá",23
"293130 Tapiramutá",6
"293135 Teixeira de Freitas",343
"293140 Teodoro Sampaio",8
"293150 Teofilândia",13
"293160 Teolândia",20
"293170 Terra Nova",16
"293180 Tremedal",15
"293190 Tucano",76
"293200 Uauá",14
"293210 Ubaíra",11
"293220 Ubaitaba",47
"293230 Ubatã",32
"293240 Uibaí",17
"293245 Umburanas",39
"293250 Una",73
"293260 Urandi",7
"293270 Uruçuca",57
"293280 Utinga",20
"293290 Valença",219
"293300 Valente",36
"293305 Várzea da Roça",8
"293310 Várzea do Poço",3
"293315 Várzea Nova",8
"293317 Varzedo",12
"293320 Vera Cruz",104
"293325 Vereda",2
"293330 Vitória da Conquista",369
"293340 Wagner",4
"293345 Wanderley",17
"293350 Wenceslau Guimarães",42
"293360 Xique-Xique",60
"310010 Abadia dos Dourados",4
"310020 Abaeté",16
"310030 Abre Campo",2
"310040 Acaiaca",7
"310050 Açucena",12
"310060 Água Boa",9
"310080 Aguanil",1
"310090 Águas Formosas",22
"310100 Águas Vermelhas",11
"310110 Aimorés",22
"310120 Aiuruoca",7
"310140 Albertina",1
"310150 Além Paraíba",83
"310160 Alfenas",70
"310163 Alfredo Vasconcelos",2
"310170 Almenara",42
"310180 Alpercata",14
"310190 Alpinópolis",7
"310200 Alterosa",23
"310205 Alto Caparaó",3
"315350 Alto Jequitibá",10
"310210 Alto Rio Doce",12
"310220 Alvarenga",1
"310230 Alvinópolis",9
"310240 Alvorada de Minas",1
"310250 Amparo do Serra",6
"310260 Andradas",23
"310280 Andrelândia",6
"310285 Angelândia",2
"310290 Antônio Carlos",11
"310300 Antônio Dias",17
"310320 Araçaí",2
"310340 Araçuaí",51
"310350 Araguari",69
"310360 Arantina",1
"310370 Araponga",1
"310375 Araporã",9
"310380 Arapuá",1
"310390 Araújos",10
"310400 Araxá",57
"310410 Arceburgo",9
"310420 Arcos",18
"310430 Areado",7
"310440 Argirita",5
"310445 Aricanduva",1
"310450 Arinos",16
"310460 Astolfo Dutra",10
"310470 Ataléia",15
"310480 Augusto de Lima",3
"310490 Baependi",10
"310500 Baldim",5
"310510 Bambuí",16
"310520 Bandeira",3
"310530 Bandeira do Sul",4
"310540 Barão de Cocais",26
"310550 Barão de Monte Alto",5
"310560 Barbacena",78
"310570 Barra Longa",6
"310590 Barroso",24
"310600 Bela Vista de Minas",15
"310610 Belmiro Braga",4
"310620 Belo Horizonte",3283
"310630 Belo Oriente",20
"310640 Belo Vale",10
"310650 Berilo",6
"310665 Berizal",2
"310660 Bertópolis",7
"310670 Betim",353
"310690 Bicas",15
"310700 Biquinhas",1
"310710 Boa Esperança",19
"310720 Bocaina de Minas",4
"310730 Bocaiúva",31
"310740 Bom Despacho",24
"310750 Bom Jardim de Minas",7
"310770 Bom Jesus do Amparo",1
"310780 Bom Jesus do Galho",7
"310790 Bom Repouso",9
"310800 Bom Sucesso",11
"310810 Bonfim",4
"310825 Bonito de Minas",6
"310830 Borda da Mata",12
"310840 Botelhos",1
"310870 Brás Pires",15
"310855 Brasilândia de Minas",4
"310860 Brasília de Minas",23
"310880 Braúnas",2
"310890 Brazópolis",9
"310900 Brumadinho",26
"310920 Buenópolis",8
"310925 Bugre",3
"310930 Buritis",9
"310940 Buritizeiro",19
"310945 Cabeceira Grande",7
"310950 Cabo Verde",5
"310960 Cachoeira da Prata",3
"310970 Cachoeira de Minas",7
"310270 Cachoeira de Pajeú",6
"310980 Cachoeira Dourada",2
"310990 Caetanópolis",11
"311000 Caeté",32
"311010 Caiana",5
"311020 Cajuri",5
"311030 Caldas",6
"311040 Camacho",1
"311050 Camanducaia",11
"311060 Cambuí",14
"311070 Cambuquira",12
"311080 Campanário",5
"311090 Campanha",8
"311100 Campestre",4
"311110 Campina Verde",4
"311115 Campo Azul",1
"311120 Campo Belo",21
"311130 Campo do Meio",14
"311140 Campo Florido",5
"311150 Campos Altos",6
"311160 Campos Gerais",28
"311190 Cana Verde",2
"311170 Canaã",1
"311180 Canápolis",11
"311200 Candeias",8
"311205 Cantagalo",1
"311220 Capela Nova",1
"311230 Capelinha",13
"311240 Capetinga",7
"311250 Capim Branco",4
"311260 Capinópolis",6
"311265 Capitão Andrade",7
"311270 Capitão Enéas",20
"311280 Capitólio",6
"311290 Caputira",10
"311300 Caraí",14
"311310 Caranaíba",1
"311320 Carandaí",13
"311330 Carangola",36
"311340 Caratinga",70
"311350 Carbonita",3
"311360 Careaçu",1
"311370 Carlos Chagas",15
"311380 Carmésia",1
"311390 Carmo da Cachoeira",4
"311400 Carmo da Mata",7
"311410 Carmo de Minas",10
"311420 Carmo do Cajuru",9
"311430 Carmo do Paranaíba",16
"311440 Carmo do Rio Claro",18
"311450 Carmópolis de Minas",10
"311455 Carneirinho",6
"311460 Carrancas",4
"311480 Carvalhos",3
"311510 Cássia",6
"311530 Cataguases",86
"311535 Catas Altas",16
"311545 Catuji",10
"311547 Catuti",2
"311550 Caxambu",31
"311560 Cedro do Abaeté",1
"311570 Central de Minas",6
"311580 Centralina",17
"311590 Chácara",5
"311600 Chalé",3
"311610 Chapada do Norte",3
"311615 Chapada Gaúcha",6
"311620 Chiador",4
"311630 Cipotânea",1
"311640 Claraval",2
"311650 Claro dos Poções",5
"311660 Cláudio",8
"311670 Coimbra",3
"311680 Coluna",3
"311690 Comendador Gomes",1
"311700 Comercinho",3
"311710 Conceição da Aparecida",5
"311520 Conceição da Barra de Minas",1
"311730 Conceição das Alagoas",12
"311740 Conceição de Ipanema",2
"311750 Conceição do Mato Dentro",18
"311760 Conceição do Pará",1
"311770 Conceição do Rio Verde",4
"311780 Conceição dos Ouros",7
"311783 Cônego Marinho",7
"311787 Confins",9
"311790 Congonhal",4
"311800 Congonhas",32
"311810 Congonhas do Norte",3
"311820 Conquista",2
"311830 Conselheiro Lafaiete",66
"311840 Conselheiro Pena",48
"311860 Contagem",577
"311870 Coqueiral",4
"311880 Coração de Jesus",14
"311890 Cordisburgo",2
"311900 Cordislândia",2
"311910 Corinto",22
"311920 Coroaci",6
"311930 Coromandel",4
"311940 Coronel Fabriciano",126
"311950 Coronel Murta",9
"311960 Coronel Pacheco",2
"311970 Coronel Xavier Chaves",1
"311980 Córrego Danta",3
"311990 Córrego do Bom Jesus",6
"311995 Córrego Fundo",6
"312010 Couto de Magalhães de Minas",4
"312015 Crisólita",4
"312020 Cristais",9
"312030 Cristália",6
"312040 Cristiano Otoni",1
"312050 Cristina",4
"312060 Crucilândia",2
"312070 Cruzeiro da Fortaleza",1
"312080 Cruzília",26
"312083 Cuparaque",4
"312087 Curral de Dentro",6
"312090 Curvelo",75
"312100 Datas",1
"312110 Delfim Moreira",3
"312120 Delfinópolis",3
"312125 Delta",23
"312130 Descoberto",5
"312140 Desterro de Entre Rios",3
"312150 Desterro do Melo",1
"312160 Diamantina",25
"312170 Diogo de Vasconcelos",3
"312180 Dionísio",8
"312190 Divinésia",9
"312200 Divino",7
"312210 Divino das Laranjeiras",4
"312220 Divinolândia de Minas",4
"312230 Divinópolis",180
"312235 Divisa Alegre",4
"312240 Divisa Nova",2
"312245 Divisópolis",4
"312247 Dom Bosco",5
"312250 Dom Cavati",5
"312260 Dom Joaquim",1
"312270 Dom Silvério",2
"312280 Dom Viçoso",1
"312290 Dona Eusébia",10
"312300 Dores de Campos",4
"312310 Dores de Guanhães",5
"312320 Dores do Indaiá",24
"312330 Dores do Turvo",4
"312340 Doresópolis",2
"312352 Durandé",6
"312360 Elói Mendes",12
"312370 Engenheiro Caldas",10
"312380 Engenheiro Navarro",10
"312385 Entre Folhas",2
"312390 Entre Rios de Minas",10
"312400 Ervália",2
"312410 Esmeraldas",32
"312420 Espera Feliz",21
"312430 Espinosa",37
"312440 Espírito Santo do Dourado",1
"312450 Estiva",9
"312460 Estrela Dalva",7
"312470 Estrela do Indaiá",5
"312480 Estrela do Sul",7
"312490 Eugenópolis",4
"312500 Ewbank da Câmara",11
"312510 Extrema",55
"312530 Faria Lemos",2
"312540 Felício dos Santos",5
"312560 Felisburgo",3
"312570 Felixlândia",9
"312580 Fernandes Tourinho",2
"312590 Ferros",14
"312595 Fervedouro",4
"312600 Florestal",4
"312610 Formiga",43
"312620 Formoso",1
"312630 Fortaleza de Minas",2
"312650 Francisco Badaró",9
"312660 Francisco Dumont",3
"312670 Francisco Sá",21
"312675 Franciscópolis",6
"312680 Frei Gaspar",5
"312690 Frei Inocêncio",16
"312695 Frei Lagonegro",2
"312700 Fronteira",12
"312705 Fronteira dos Vales",7
"312707 Fruta de Leite",4
"312710 Frutal",47
"312730 Galiléia",17
"312733 Gameleiras",8
"312735 Glaucilândia",2
"312737 Goiabeira",4
"312738 Goianá",7
"312750 Gonzaga",2
"312760 Gouveia",2
"312770 Governador Valadares",499
"312780 Grão Mogol",7
"312800 Guanhães",15
"312810 Guapé",5
"312820 Guaraciaba",8
"312830 Guaranésia",9
"312840 Guarani",8
"312850 Guarará",3
"312860 Guarda-Mor",1
"312870 Guaxupé",39
"312880 Guidoval",11
"312890 Guimarânia",1
"312900 Guiricema",8
"312910 Gurinhatã",1
"312920 Heliodora",3
"312930 Iapu",18
"312940 Ibertioga",6
"312950 Ibiá",12
"312960 Ibiaí",8
"312965 Ibiracatu",11
"312970 Ibiraci",10
"312980 Ibirité",151
"312990 Ibitiúra de Minas",1
"313005 Icaraí de Minas",8
"313010 Igarapé",25
"313020 Igaratinga",7
"313030 Iguatama",3
"313040 Ijaci",7
"313050 Ilicínea",5
"313055 Imbé de Minas",4
"313060 Inconfidentes",7
"313065 Indaiabira",2
"313090 Inhapim",14
"313100 Inhaúma",4
"313110 Inimutaba",10
"313115 Ipaba",34
"313120 Ipanema",31
"313130 Ipatinga",271
"313140 Ipiaçu",1
"313150 Ipuiúna",5
"313160 Iraí de Minas",3
"313170 Itabira",81
"313180 Itabirinha",7
"313190 Itabirito",24
"313200 Itacambira",3
"313210 Itacarambi",39
"313220 Itaguara",12
"313230 Itaipé",12
"313240 Itajubá",133
"313250 Itamarandiba",20
"313260 Itamarati de Minas",6
"313270 Itambacuri",20
"313280 Itambé do Mato Dentro",4
"313290 Itamogi",10
"313300 Itamonte",3
"313310 Itanhandu",9
"313320 Itanhomi",14
"313330 Itaobim",19
"313340 Itapagipe",15
"313350 Itapecerica",12
"313360 Itapeva",3
"313370 Itatiaiuçu",10
"313375 Itaú de Minas",10
"313380 Itaúna",100
"313390 Itaverava",3
"313400 Itinga",34
"313410 Itueta",4
"313420 Ituiutaba",82
"313430 Itumirim",7
"313440 Iturama",37
"313450 Itutinga",4
"313460 Jaboticatubas",16
"313470 Jacinto",9
"313480 Jacuí",2
"313490 Jacutinga",12
"313500 Jaguaraçu",3
"313505 Jaíba",43
"313507 Jampruca",5
"313510 Janaúba",92
"313520 Januária",110
"313535 Japonvar",6
"313540 Jeceaba",5
"313545 Jenipapo de Minas",29
"313550 Jequeri",10
"313560 Jequitaí",8
"313570 Jequitibá",2
"313580 Jequitinhonha",29
"313590 Jesuânia",5
"313600 Joaíma",9
"313610 Joanésia",4
"313620 João Monlevade",54
"313630 João Pinheiro",29
"313640 Joaquim Felício",8
"313650 Jordânia",4
"313652 José Gonçalves de Minas",2
"313655 José Raydan",1
"313657 Josenópolis",4
"313665 Juatuba",35
"313670 Juiz de Fora",1478
"313680 Juramento",2
"313690 Juruaia",4
"313695 Juvenília",14
"313700 Ladainha",11
"313710 Lagamar",3
"313720 Lagoa da Prata",32
"313730 Lagoa dos Patos",4
"313740 Lagoa Dourada",6
"313750 Lagoa Formosa",5
"313753 Lagoa Grande",3
"313760 Lagoa Santa",79
"313770 Lajinha",12
"313780 Lambari",8
"313800 Laranjal",2
"313810 Lassance",4
"313820 Lavras",96
"313830 Leandro Ferreira",1
"313835 Leme do Prado",1
"313840 Leopoldina",85
"313850 Liberdade",3
"313860 Lima Duarte",18
"313862 Limeira do Oeste",2
"313865 Lontra",5
"313867 Luisburgo",1
"313868 Luislândia",4
"313870 Luminárias",3
"313880 Luz",25
"313890 Machacalis",9
"313900 Machado",30
"313910 Madre de Deus de Minas",2
"313920 Malacacheta",16
"313930 Manga",44
"313940 Manhuaçu",92
"313950 Manhumirim",17
"313960 Mantena",31
"313980 Mar de Espanha",8
"313970 Maravilhas",1
"313990 Maria da Fé",5
"314000 Mariana",55
"314010 Marilac",12
"314015 Mário Campos",17
"314020 Maripá de Minas",2
"314030 Marliéria",3
"314040 Marmelópolis",1
"314050 Martinho Campos",7
"314053 Martins Soares",5
"314055 Mata Verde",6
"314060 Materlândia",1
"314070 Mateus Leme",38
"317150 Mathias Lobato",8
"314080 Matias Barbosa",25
"314085 Matias Cardoso",7
"314090 Matipó",6
"314100 Mato Verde",6
"314110 Matozinhos",24
"314120 Matutina",1
"314130 Medeiros",4
"314140 Medina",26
"314160 Mercês",5
"314170 Mesquita",5
"314180 Minas Novas",11
"314190 Minduri",1
"314200 Mirabela",25
"314210 Miradouro",5
"314220 Miraí",10
"314225 Miravânia",10
"314230 Moeda",1
"314240 Moema",4
"314250 Monjolos",1
"314260 Monsenhor Paulo",6
"314270 Montalvânia",43
"314280 Monte Alegre de Minas",8
"314290 Monte Azul",15
"314300 Monte Belo",6
"314310 Monte Carmelo",30
"314315 Monte Formoso",1
"314320 Monte Santo de Minas",18
"314340 Monte Sião",6
"314330 Montes Claros",515
"314345 Montezuma",1
"314350 Morada Nova de Minas",4
"314370 Morro do Pilar",3
"314380 Munhoz",2
"314390 Muriaé",150
"314400 Mutum",7
"314410 Muzambinho",4
"314420 Nacip Raydan",2
"314430 Nanuque",53
"314435 Naque",4
"314437 Natalândia",2
"314440 Natércia",5
"314450 Nazareno",6
"314460 Nepomuceno",12
"314465 Ninheira",5
"314467 Nova Belém",1
"314470 Nova Era",23
"314480 Nova Lima",129
"314490 Nova Módica",1
"314500 Nova Ponte",12
"314505 Nova Porteirinha",20
"314510 Nova Resende",4
"314520 Nova Serrana",60
"313660 Nova União",3
"314530 Novo Cruzeiro",24
"314535 Novo Oriente de Minas",18
"314537 Novorizonte",6
"314540 Olaria",1
"314550 Olímpio Noronha",4
"314560 Oliveira",64
"314580 Onça de Pitangui",1
"314585 Oratórios",8
"314587 Orizânia",1
"314590 Ouro Branco",14
"314600 Ouro Fino",32
"314610 Ouro Preto",46
"314620 Ouro Verde de Minas",4
"314625 Padre Carvalho",4
"314630 Padre Paraíso",11
"314655 Pai Pedro",3
"314640 Paineiras",2
"314650 Pains",2
"314660 Paiva",1
"314670 Palma",7
"314675 Palmópolis",17
"314690 Papagaios",7
"314710 Pará de Minas",41
"314700 Paracatu",51
"314720 Paraguaçu",16
"314730 Paraisópolis",9
"314740 Paraopeba",17
"314760 Passa Quatro",11
"314770 Passa Tempo",1
"314780 Passa-Vinte",2
"314790 Passos",166
"314795 Patis",8
"314800 Patos de Minas",47
"314810 Patrocínio",55
"314820 Patrocínio do Muriaé",6
"314830 Paula Cândido",7
"314840 Paulistas",1
"314850 Pavão",9
"314860 Peçanha",11
"314870 Pedra Azul",50
"314875 Pedra Bonita",1
"314890 Pedra do Indaiá",3
"314900 Pedra Dourada",2
"314910 Pedralva",6
"314915 Pedras de Maria da Cruz",12
"314920 Pedrinópolis",4
"314930 Pedro Leopoldo",50
"314940 Pedro Teixeira",1
"314950 Pequeri",7
"314960 Pequi",3
"314970 Perdigão",6
"314980 Perdizes",5
"314990 Perdões",9
"314995 Periquito",7
"315010 Piau",2
"315015 Piedade de Caratinga",7
"315020 Piedade de Ponte Nova",5
"315030 Piedade do Rio Grande",4
"315040 Piedade dos Gerais",3
"315050 Pimenta",1
"315053 Pingo-d'Água",6
"315057 Pintópolis",7
"315060 Piracema",2
"315080 Piranga",3
"315090 Piranguçu",3
"315100 Piranguinho",5
"315110 Pirapetinga",26
"315120 Pirapora",55
"315130 Piraúba",10
"315140 Pitangui",17
"315150 Piumhi",18
"315160 Planura",8
"315170 Poço Fundo",6
"315180 Poços de Caldas",131
"315190 Pocrane",9
"315200 Pompéu",20
"315210 Ponte Nova",142
"315213 Ponto Chique",3
"315217 Ponto dos Volantes",9
"315220 Porteirinha",26
"315230 Porto Firme",6
"315240 Poté",15
"315250 Pouso Alegre",156
"315260 Pouso Alto",8
"315270 Prados",4
"315280 Prata",25
"315290 Pratápolis",6
"315300 Pratinha",1
"315310 Presidente Bernardes",3
"315320 Presidente Juscelino",1
"315330 Presidente Kubitschek",6
"315340 Presidente Olegário",6
"315360 Prudente de Morais",15
"315390 Raposos",31
"315400 Raul Soares",19
"315410 Recreio",13
"315415 Reduto",7
"315420 Resende Costa",4
"315430 Resplendor",18
"315440 Ressaquinha",5
"315445 Riachinho",2
"315450 Riacho dos Machados",4
"315460 Ribeirão das Neves",408
"315470 Ribeirão Vermelho",3
"315480 Rio Acima",15
"315490 Rio Casca",27
"315510 Rio do Prado",9
"315520 Rio Espera",1
"315530 Rio Manso",4
"315540 Rio Novo",9
"315550 Rio Paranaíba",4
"315560 Rio Pardo de Minas",5
"315570 Rio Piracicaba",18
"315580 Rio Pomba",21
"315590 Rio Preto",2
"315600 Rio Vermelho",5
"315610 Ritápolis",1
"315620 Rochedo de Minas",2
"315630 Rodeiro",14
"315645 Rosário da Limeira",5
"315650 Rubelita",9
"315660 Rubim",20
"315670 Sabará",221
"315680 Sabinópolis",19
"315690 Sacramento",15
"315700 Salinas",28
"315710 Salto da Divisa",16
"315720 Santa Bárbara",58
"315725 Santa Bárbara do Leste",2
"315730 Santa Bárbara do Tugúrio",1
"315733 Santa Cruz de Minas",8
"315737 Santa Cruz de Salinas",2
"315740 Santa Cruz do Escalvado",1
"315750 Santa Efigênia de Minas",6
"315760 Santa Fé de Minas",3
"315765 Santa Helena de Minas",5
"315770 Santa Juliana",7
"315780 Santa Luzia",338
"315790 Santa Margarida",8
"315800 Santa Maria de Itabira",5
"315810 Santa Maria do Salto",7
"315820 Santa Maria do Suaçuí",14
"315920 Santa Rita de Caldas",4
"315930 Santa Rita de Jacutinga",7
"315935 Santa Rita de Minas",4
"315950 Santa Rita do Itueto",11
"315960 Santa Rita do Sapucaí",25
"315980 Santa Vitória",14
"315830 Santana da Vargem",3
"315840 Santana de Cataguases",2
"315850 Santana de Pirapama",1
"315860 Santana do Deserto",8
"315890 Santana do Manhuaçu",11
"315895 Santana do Paraíso",49
"315900 Santana do Riacho",1
"315990 Santo Antônio do Amparo",9
"316000 Santo Antônio do Aventureiro",6
"316010 Santo Antônio do Grama",3
"316030 Santo Antônio do Jacinto",21
"316040 Santo Antônio do Monte",9
"316045 Santo Antônio do Retiro",2
"316060 Santo Hipólito",1
"316070 Santos Dumont",54
"316080 São Bento Abade",7
"316090 São Brás do Suaçuí",11
"316095 São Domingos das Dores",2
"316100 São Domingos do Prata",12
"316110 São Francisco",85
"316120 São Francisco de Paula",6
"316130 São Francisco de Sales",3
"316140 São Francisco do Glória",6
"316150 São Geraldo",8
"316160 São Geraldo da Piedade",9
"316165 São Geraldo do Baixio",6
"316170 São Gonçalo do Abaeté",2
"316180 São Gonçalo do Pará",5
"316190 São Gonçalo do Rio Abaixo",4
"312550 São Gonçalo do Rio Preto",7
"316200 São Gonçalo do Sapucaí",13
"316210 São Gotardo",27
"316220 São João Batista do Glória",2
"316225 São João da Lagoa",1
"316230 São João da Mata",1
"316240 São João da Ponte",17
"316245 São João das Missões",19
"316250 São João del Rei",62
"316255 São João do Manhuaçu",5
"316257 São João do Manteninha",4
"316260 São João do Oriente",14
"316265 São João do Pacuí",1
"316270 São João do Paraíso",9
"316280 São João Evangelista",2
"316290 São João Nepomuceno",31
"316292 São Joaquim de Bicas",77
"316294 São José da Barra",2
"316295 São José da Lapa",8
"316300 São José da Safira",8
"316320 São José do Alegre",3
"316330 São José do Divino",4
"316340 São José do Goiabal",8
"316350 São José do Jacuri",6
"316360 São José do Mantimento",2
"316370 São Lourenço",93
"316410 São Pedro do Suaçuí",2
"316400 São Pedro dos Ferros",6
"316420 São Romão",4
"316430 São Roque de Minas",2
"316440 São Sebastião da Bela Vista",3
"316443 São Sebastião da Vargem Alegre",2
"316447 São Sebastião do Anta",5
"316450 São Sebastião do Maranhão",4
"316460 São Sebastião do Oeste",4
"316470 São Sebastião do Paraíso",59
"316480 São Sebastião do Rio Preto",1
"316520 São Thomé das Letras",13
"316500 São Tiago",5
"316510 São Tomás de Aquino",6
"316530 São Vicente de Minas",4
"316540 Sapucaí-Mirim",7
"316550 Sardoá",2
"316553 Sarzedo",28
"316556 Sem-Peixe",1
"316557 Senador Amaral",3
"316570 Senador Firmino",2
"316580 Senador José Bento",1
"316590 Senador Modestino Gonçalves",3
"316600 Senhora de Oliveira",3
"316620 Senhora dos Remédios",4
"316630 Sericita",2
"316650 Serra Azul de Minas",1
"316660 Serra da Saudade",2
"316680 Serra do Salitre",3
"316670 Serra dos Aimorés",3
"316690 Serrania",16
"316695 Serranópolis de Minas",1
"316710 Serro",25
"316720 Sete Lagoas",175
"316555 Setubinha",4
"316730 Silveirânia",2
"316740 Silvianópolis",1
"316750 Simão Pereira",4
"316760 Simonésia",6
"316770 Sobrália",3
"316780 Soledade de Minas",1
"316790 Tabuleiro",10
"316800 Taiobeiras",13
"316805 Taparuba",1
"316810 Tapira",2
"316820 Tapiraí",1
"316830 Taquaraçu de Minas",1
"316840 Tarumirim",27
"316850 Teixeiras",10
"316860 Teófilo Otoni",217
"316870 Timóteo",57
"316880 Tiradentes",6
"316890 Tiros",1
"316900 Tocantins",42
"316905 Tocos do Moji",1
"316910 Toledo",3
"316920 Tombos",7
"316930 Três Corações",85
"316935 Três Marias",26
"316940 Três Pontas",24
"316950 Tumiritinga",11
"316960 Tupaciguara",33
"316970 Turmalina",9
"316980 Turvolândia",2
"316990 Ubá",230
"317000 Ubaí",10
"317005 Ubaporanga",7
"317010 Uberaba",389
"317020 Uberlândia",631
"317030 Umburatiba",1
"317040 Unaí",67
"317047 Uruana de Minas",1
"317050 Urucânia",19
"317052 Urucuia",3
"317057 Vargem Alegre",5
"317065 Vargem Grande do Rio Pardo",2
"317070 Varginha",99
"317075 Varjão de Minas",5
"317080 Várzea da Palma",20
"317090 Varzelândia",18
"317100 Vazante",6
"317103 Verdelândia",20
"317107 Veredinha",2
"317120 Vespasiano",154
"317130 Viçosa",63
"317140 Vieiras",6
"317160 Virgem da Lapa",13
"317170 Virgínia",3
"317180 Virginópolis",10
"317190 Virgolândia",1
"317200 Visconde do Rio Branco",87
"317210 Volta Grande",9
"320010 Afonso Cláudio",25
"320016 Água Doce do Norte",12
"320013 Águia Branca",7
"320020 Alegre",35
"320030 Alfredo Chaves",3
"320035 Alto Rio Novo",6
"320040 Anchieta",31
"320050 Apiacá",19
"320060 Aracruz",108
"320070 Atilio Vivacqua",15
"320080 Baixo Guandu",26
"320090 Barra de São Francisco",36
"320100 Boa Esperança",11
"320110 Bom Jesus do Norte",14
"320115 Brejetuba",15
"320120 Cachoeiro de Itapemirim",390
"320130 Cariacica",866
"320140 Castelo",34
"320150 Colatina",206
"320160 Conceição da Barra",35
"320170 Conceição do Castelo",9
"320180 Divino de São Lourenço",2
"320190 Domingos Martins",24
"320200 Dores do Rio Preto",14
"320210 Ecoporanga",24
"320220 Fundão",31
"320225 Governador Lindenberg",1
"320230 Guaçuí",20
"320240 Guarapari",259
"320245 Ibatiba",16
"320250 Ibiraçu",13
"320255 Ibitirama",5
"320260 Iconha",10
"320265 Irupi",4
"320270 Itaguaçu",14
"320280 Itapemirim",66
"320290 Itarana",4
"320300 Iúna",14
"320305 Jaguaré",42
"320310 Jerônimo Monteiro",22
"320313 João Neiva",17
"320316 Laranja da Terra",9
"320320 Linhares",234
"320330 Mantenópolis",5
"320332 Marataízes",95
"320334 Marechal Floriano",9
"320335 Marilândia",10
"320340 Mimoso do Sul",20
"320350 Montanha",36
"320360 Mucurici",6
"320370 Muniz Freire",8
"320380 Muqui",13
"320390 Nova Venécia",48
"320400 Pancas",21
"320405 Pedro Canário",49
"320410 Pinheiros",36
"320420 Piúma",25
"320425 Ponto Belo",9
"320430 Presidente Kennedy",8
"320435 Rio Bananal",17
"320440 Rio Novo do Sul",14
"320450 Santa Leopoldina",27
"320455 Santa Maria de Jetibá",17
"320460 Santa Teresa",23
"320465 São Domingos do Norte",8
"320470 São Gabriel da Palha",25
"320480 São José do Calçado",13
"320490 São Mateus",186
"320495 São Roque do Canaã",8
"320500 Serra",1151
"320501 Sooretama",38
"320503 Vargem Alta",19
"320506 Venda Nova do Imigrante",12
"320510 Viana",259
"320515 Vila Pavão",4
"320517 Vila Valério",10
"320520 Vila Velha",1162
"320530 Vitória",787
"320000 Município ignorado - ES",1
