"cidade","scongenita"
"312780 Grão Mogol",1
"312800 Guanhães",5
"312810 Guapé",2
"312825 Guaraciama",2
"312830 Guaranésia",3
"312840 Guarani",3
"312850 Guarará",2
"312870 Guaxupé",9
"312880 Guidoval",2
"312890 Guimarânia",1
"312900 Guiricema",1
"312910 Gurinhatã",1
"312920 Heliodora",1
"312930 Iapu",6
"312950 Ibiá",8
"312960 Ibiaí",5
"312965 Ibiracatu",1
"312970 Ibiraci",1
"312980 Ibirité",124
"313010 Igarapé",30
"313030 Iguatama",3
"313040 Ijaci",1
"313090 Inhapim",5
"313100 Inhaúma",1
"313110 Inimutaba",4
"313115 Ipaba",12
"313120 Ipanema",5
"313130 Ipatinga",224
"313150 Ipuiúna",3
"313170 Itabira",29
"313180 Itabirinha",4
"313190 Itabirito",9
"313200 Itacambira",1
"313210 Itacarambi",6
"313230 Itaipé",5
"313240 Itajubá",15
"313270 Itambacuri",3
"313290 Itamogi",1
"313300 Itamonte",8
"313310 Itanhandu",3
"313320 Itanhomi",9
"313330 Itaobim",2
"313340 Itapagipe",2
"313350 Itapecerica",4
"313375 Itaú de Minas",7
"313380 Itaúna",12
"313400 Itinga",1
"313410 Itueta",1
"313420 Ituiutaba",4
"313440 Iturama",8
"313460 Jaboticatubas",16
"313470 Jacinto",4
"313480 Jacuí",1
"313490 Jacutinga",4
"313500 Jaguaraçu",1
"313505 Jaíba",17
"313507 Jampruca",1
"313510 Janaúba",20
"313520 Januária",9
"313560 Jequitaí",1
"313580 Jequitinhonha",4
"313590 Jesuânia",1
"313600 Joaíma",4
"313620 João Monlevade",18
"313630 João Pinheiro",6
"313640 Joaquim Felício",2
"313650 Jordânia",3
"313665 Juatuba",23
"313670 Juiz de Fora",403
"313680 Juramento",1
"313690 Juruaia",2
"313695 Juvenília",1
"313700 Ladainha",6
"313720 Lagoa da Prata",10
"313730 Lagoa dos Patos",1
"313740 Lagoa Dourada",4
"313750 Lagoa Formosa",1
"313760 Lagoa Santa",56
"313770 Lajinha",5
"313800 Laranjal",1
"313810 Lassance",1
"313820 Lavras",36
"313830 Leandro Ferreira",1
"313840 Leopoldina",18
"313860 Lima Duarte",4
"313865 Lontra",2
"313867 Luisburgo",3
"313868 Luislândia",2
"313870 Luminárias",2
"313880 Luz",1
"313890 Machacalis",4
"313900 Machado",8
"313910 Madre de Deus de Minas",2
"313920 Malacacheta",6
"313925 Mamonas",1
"313930 Manga",10
"313940 Manhuaçu",69
"313950 Manhumirim",24
"313960 Mantena",7
"313980 Mar de Espanha",8
"313970 Maravilhas",2
"313990 Maria da Fé",3
"314000 Mariana",24
"314010 Marilac",5
"314015 Mário Campos",12
"314030 Marliéria",3
"314050 Martinho Campos",3
"314053 Martins Soares",7
"314060 Materlândia",1
"314070 Mateus Leme",23
"317150 Mathias Lobato",5
"314080 Matias Barbosa",6
"314085 Matias Cardoso",2
"314090 Matipó",15
"314100 Mato Verde",1
"314110 Matozinhos",23
"314130 Medeiros",1
"314140 Medina",6
"314160 Mercês",2
"314170 Mesquita",1
"314180 Minas Novas",1
"314200 Mirabela",3
"314210 Miradouro",1
"314220 Miraí",2
"314240 Moema",1
"314270 Montalvânia",2
"314280 Monte Alegre de Minas",1
"314290 Monte Azul",7
"314300 Monte Belo",5
"314310 Monte Carmelo",12
"314315 Monte Formoso",1
"314320 Monte Santo de Minas",6
"314340 Monte Sião",3
"314330 Montes Claros",264
"314350 Morada Nova de Minas",3
"314360 Morro da Garça",1
"314380 Munhoz",1
"314390 Muriaé",21
"314400 Mutum",2
"314410 Muzambinho",1
"314430 Nanuque",17
"314435 Naque",14
"314450 Nazareno",1
"314460 Nepomuceno",3
"314470 Nova Era",3
"314480 Nova Lima",36
"314490 Nova Módica",2
"314500 Nova Ponte",5
"314505 Nova Porteirinha",1
"314510 Nova Resende",2
"314520 Nova Serrana",37
"313660 Nova União",1
"314530 Novo Cruzeiro",12
"314535 Novo Oriente de Minas",10
"314560 Oliveira",14
"314580 Onça de Pitangui",2
"314590 Ouro Branco",9
"314600 Ouro Fino",1
"314610 Ouro Preto",18
"314620 Ouro Verde de Minas",3
"314630 Padre Paraíso",12
"314650 Pains",2
"314670 Palma",1
"314690 Papagaios",5
"314710 Pará de Minas",18
"314700 Paracatu",62
"314720 Paraguaçu",6
"314730 Paraisópolis",2
"314740 Paraopeba",14
"314760 Passa Quatro",2
"314770 Passa Tempo",6
"314780 Passa-Vinte",1
"314790 Passos",61
"314795 Patis",1
"314800 Patos de Minas",18
"314810 Patrocínio",7
"314830 Paula Cândido",1
"314850 Pavão",5
"314870 Pedra Azul",3
"314910 Pedralva",1
"314915 Pedras de Maria da Cruz",5
"314930 Pedro Leopoldo",9
"314950 Pequeri",1
"314970 Perdigão",2
"314980 Perdizes",5
"314990 Perdões",7
"314995 Periquito",11
"315010 Piau",2
"315015 Piedade de Caratinga",2
"315020 Piedade de Ponte Nova",3
"315030 Piedade do Rio Grande",2
"315040 Piedade dos Gerais",1
"315050 Pimenta",4
"315053 Pingo-d'Água",3
"315070 Pirajuba",1
"315080 Piranga",4
"315100 Piranguinho",1
"315110 Pirapetinga",1
"315120 Pirapora",26
"315140 Pitangui",5
"315150 Piumhi",1
"315160 Planura",5
"315180 Poços de Caldas",25
"315190 Pocrane",1
"315200 Pompéu",8
"315210 Ponte Nova",11
"315217 Ponto dos Volantes",1
"315230 Porto Firme",1
"315240 Poté",14
"315250 Pouso Alegre",86
"315260 Pouso Alto",2
"315270 Prados",2
"315280 Prata",6
"315290 Pratápolis",4
"315360 Prudente de Morais",1
"315370 Quartel Geral",1
"315390 Raposos",8
"315400 Raul Soares",1
"315415 Reduto",9
"315420 Resende Costa",2
"315430 Resplendor",10
"315440 Ressaquinha",1
"315445 Riachinho",3
"315460 Ribeirão das Neves",418
"315480 Rio Acima",4
"315490 Rio Casca",1
"315530 Rio Manso",2
"315540 Rio Novo",6
"315550 Rio Paranaíba",2
"315560 Rio Pardo de Minas",1
"315570 Rio Piracicaba",4
"315580 Rio Pomba",5
"315590 Rio Preto",1
"315610 Ritápolis",1
"315630 Rodeiro",5
"315660 Rubim",1
"315670 Sabará",132
"315680 Sabinópolis",1
"315690 Sacramento",18
"315700 Salinas",11
"315710 Salto da Divisa",1
"315720 Santa Bárbara",8
"315730 Santa Bárbara do Tugúrio",4
"315733 Santa Cruz de Minas",15
"315737 Santa Cruz de Salinas",1
"315750 Santa Efigênia de Minas",2
"315760 Santa Fé de Minas",3
"315770 Santa Juliana",8
"315780 Santa Luzia",284
"315790 Santa Margarida",8
"315810 Santa Maria do Salto",1
"315820 Santa Maria do Suaçuí",2
"315920 Santa Rita de Caldas",2
"315930 Santa Rita de Jacutinga",1
"315950 Santa Rita do Itueto",1
"315960 Santa Rita do Sapucaí",8
"315980 Santa Vitória",2
"315830 Santana da Vargem",2
"315840 Santana de Cataguases",1
"315880 Santana do Jacaré",2
"315890 Santana do Manhuaçu",6
"315895 Santana do Paraíso",33
"315900 Santana do Riacho",2
"315910 Santana dos Montes",1
"315990 Santo Antônio do Amparo",10
"316010 Santo Antônio do Grama",1
"316030 Santo Antônio do Jacinto",2
"316040 Santo Antônio do Monte",8
"316070 Santos Dumont",24
"316080 São Bento Abade",1
"316090 São Brás do Suaçuí",2
"316100 São Domingos do Prata",1
"316110 São Francisco",35
"316120 São Francisco de Paula",1
"316150 São Geraldo",5
"316165 São Geraldo do Baixio",2
"316170 São Gonçalo do Abaeté",1
"316180 São Gonçalo do Pará",5
"316190 São Gonçalo do Rio Abaixo",1
"316200 São Gonçalo do Sapucaí",5
"316210 São Gotardo",26
"316220 São João Batista do Glória",1
"316230 São João da Mata",1
"316240 São João da Ponte",2
"316245 São João das Missões",1
"316250 São João del Rei",67
"316255 São João do Manhuaçu",12
"316257 São João do Manteninha",3
"316260 São João do Oriente",7
"316270 São João do Paraíso",3
"316280 São João Evangelista",2
"316290 São João Nepomuceno",6
"316292 São Joaquim de Bicas",11
"316294 São José da Barra",3
"316295 São José da Lapa",13
"316300 São José da Safira",2
"316310 São José da Varginha",1
"316360 São José do Mantimento",1
"316370 São Lourenço",22
"316400 São Pedro dos Ferros",1
"316420 São Romão",2
"316430 São Roque de Minas",1
"316440 São Sebastião da Bela Vista",4
"316447 São Sebastião do Anta",1
"316460 São Sebastião do Oeste",1
"316470 São Sebastião do Paraíso",18
"316520 São Thomé das Letras",3
"316500 São Tiago",5
"316510 São Tomás de Aquino",2
"316530 São Vicente de Minas",2
"316553 Sarzedo",11
"316570 Senador Firmino",1
"316620 Senhora dos Remédios",1
"316680 Serra do Salitre",3
"316670 Serra dos Aimorés",5
"316690 Serrania",2
"316710 Serro",2
"316720 Sete Lagoas",88
"316555 Setubinha",2
"316750 Simão Pereira",1
"316760 Simonésia",10
"316770 Sobrália",5
"316790 Tabuleiro",2
"316800 Taiobeiras",1
"316830 Taquaraçu de Minas",1
"316840 Tarumirim",6
"316850 Teixeiras",1
"316860 Teófilo Otoni",161
"316870 Timóteo",34
"316880 Tiradentes",8
"316900 Tocantins",4
"316930 Três Corações",15
"316935 Três Marias",12
"316940 Três Pontas",10
"316950 Tumiritinga",8
"316960 Tupaciguara",13
"316970 Turmalina",3
"316980 Turvolândia",3
"316990 Ubá",63
"317000 Ubaí",1
"317005 Ubaporanga",3
"317010 Uberaba",349
"317020 Uberlândia",284
"317030 Umburatiba",1
"317040 Unaí",10
"317050 Urucânia",1
"317052 Urucuia",1
"317070 Varginha",39
"317075 Varjão de Minas",1
"317080 Várzea da Palma",11
"317090 Varzelândia",6
"317100 Vazante",2
"317103 Verdelândia",6
"317107 Veredinha",2
"317110 Veríssimo",3
"317120 Vespasiano",275
"317130 Viçosa",27
"317140 Vieiras",1
"317160 Virgem da Lapa",4
"317170 Virgínia",4
"317180 Virginópolis",1
"317190 Virgolândia",1
"317200 Visconde do Rio Branco",12
"317210 Volta Grande",2
"310000 Município ignorado - MG",1
"320010 Afonso Cláudio",4
"320016 Água Doce do Norte",2
"320013 Águia Branca",1
"320020 Alegre",5
"320030 Alfredo Chaves",4
"320035 Alto Rio Novo",1
"320040 Anchieta",4
"320050 Apiacá",2
"320060 Aracruz",61
"320070 Atilio Vivacqua",8
"320080 Baixo Guandu",1
"320090 Barra de São Francisco",11
"320100 Boa Esperança",7
"320110 Bom Jesus do Norte",2
"320115 Brejetuba",4
"320120 Cachoeiro de Itapemirim",206
"320130 Cariacica",657
"320140 Castelo",14
"320150 Colatina",25
"320160 Conceição da Barra",1
"320170 Conceição do Castelo",2
"320180 Divino de São Lourenço",1
"320190 Domingos Martins",8
"320200 Dores do Rio Preto",2
"320210 Ecoporanga",1
"320220 Fundão",19
"320225 Governador Lindenberg",1
"320230 Guaçuí",1
"320240 Guarapari",122
"320245 Ibatiba",6
"320250 Ibiraçu",17
"320260 Iconha",4
"320265 Irupi",3
"320270 Itaguaçu",1
"320280 Itapemirim",15
"320300 Iúna",8
"320305 Jaguaré",15
"320310 Jerônimo Monteiro",9
"320313 João Neiva",5
"320320 Linhares",88
"320330 Mantenópolis",10
"320332 Marataízes",9
"320334 Marechal Floriano",5
"320335 Marilândia",4
"320340 Mimoso do Sul",10
"320350 Montanha",10
"320360 Mucurici",2
"320370 Muniz Freire",1
"320380 Muqui",11
"320390 Nova Venécia",24
"320400 Pancas",3
"320405 Pedro Canário",10
"320410 Pinheiros",17
"320420 Piúma",5
"320425 Ponto Belo",6
"320430 Presidente Kennedy",13
"320435 Rio Bananal",7
"320440 Rio Novo do Sul",2
"320450 Santa Leopoldina",5
"320455 Santa Maria de Jetibá",3
"320460 Santa Teresa",1
"320465 São Domingos do Norte",4
"320470 São Gabriel da Palha",6
"320480 São José do Calçado",5
"320490 São Mateus",54
"320495 São Roque do Canaã",3
"320500 Serra",329
"320501 Sooretama",23
"320503 Vargem Alta",11
"320506 Venda Nova do Imigrante",2
"320510 Viana",86
"320517 Vila Valério",2
"320520 Vila Velha",500
"320530 Vitória",225
"330010 Angra dos Reis",126
"330015 Aperibé",2
"330020 Araruama",118
"330022 Areal",5
"330023 Armação dos Búzios",22
"330025 Arraial do Cabo",19
"330030 Barra do Piraí",214
"330040 Barra Mansa",52
"330045 Belford Roxo",1202
"330050 Bom Jardim",8
"330060 Bom Jesus do Itabapoana",17
"330070 Cabo Frio",122
"330080 Cachoeiras de Macacu",13
"330100 Campos dos Goytacazes",112
"330110 Cantagalo",6
"330093 Carapebus",3
"330115 Cardoso Moreira",2
"330120 Carmo",4
"330130 Casimiro de Abreu",17
"330095 Comendador Levy Gasparian",12
"330140 Conceição de Macabu",15
"330150 Cordeiro",13
"330160 Duas Barras",3
"330170 Duque de Caxias",1579
"330180 Engenheiro Paulo de Frontin",2
"330185 Guapimirim",72
"330187 Iguaba Grande",15
"330190 Itaboraí",342
"330200 Itaguaí",67
"330205 Italva",3
"330210 Itaocara",1
"330220 Itaperuna",40
"330225 Itatiaia",17
"330227 Japeri",147
"330230 Laje do Muriaé",3
"330240 Macaé",255
"330245 Macuco",6
"330250 Magé",481
"330260 Mangaratiba",10
"330270 Maricá",165
"330280 Mendes",1
"330285 Mesquita",388
"330290 Miguel Pereira",3
"330320 Nilópolis",227
"330330 Niterói",550
"330340 Nova Friburgo",79
"330350 Nova Iguaçu",1707
"330360 Paracambi",11
"330370 Paraíba do Sul",13
"330380 Paraty",11
"330390 Petrópolis",348
"330395 Pinheiral",11
"330400 Piraí",11
"330410 Porciúncula",2
"330411 Porto Real",18
"330412 Quatis",8
"330414 Queimados",277
"330415 Quissamã",7
"330420 Resende",119
"330430 Rio Bonito",45
"330440 Rio Claro",2
"330450 Rio das Flores",2
"330452 Rio das Ostras",94
"330455 Rio de Janeiro",6624
"330460 Santa Maria Madalena",3
"330470 Santo Antônio de Pádua",1
"330480 São Fidélis",3
"330475 São Francisco de Itabapoana",8
"330490 São Gonçalo",1979
"330500 São João da Barra",5
"330510 São João de Meriti",1225
"330513 São José de Ubá",2
"330515 São José do Vale do Rio Preto",3
"330520 São Pedro da Aldeia",79
"330540 Sapucaia",1
"330550 Saquarema",77
"330555 Seropédica",31
"330560 Silva Jardim",9
"330570 Sumidouro",1
"330575 Tanguá",23
"330580 Teresópolis",113
"330590 Trajano de Moraes",1
"330600 Três Rios",69
"330610 Valença",39
"330620 Vassouras",5
"330630 Volta Redonda",182
"330000 Município ignorado - RJ",2
"350010 Adamantina",6
"350020 Adolfo",1
"350030 Aguaí",14
"350070 Agudos",21
"350075 Alambari",1
"350100 Altinópolis",7
"350110 Alto Alegre",1
"350115 Alumínio",6
"350120 Álvares Florence",2
"350130 Álvares Machado",13
"350140 Álvaro de Carvalho",4
"350150 Alvinlândia",2
"350160 Americana",27
"350170 Américo Brasiliense",5
"350180 Américo de Campos",4
"350190 Amparo",5
"350210 Andradina",16
"350220 Angatuba",4
"350230 Anhembi",5
"350240 Anhumas",1
"350250 Aparecida",8
"350260 Aparecida d'Oeste",2
"350270 Apiaí",18
"350275 Araçariguama",12
"350280 Araçatuba",48
"350290 Araçoiaba da Serra",2
"350320 Araraquara",98
"350330 Araras",48
"350335 Arco-Íris",1
"350340 Arealva",8
"350360 Areiópolis",4
"350370 Ariranha",2
"350380 Artur Nogueira",6
"350390 Arujá",16
"350400 Assis",30
"350410 Atibaia",87
"350420 Auriflama",2
"350430 Avaí",3
"350440 Avanhandava",3
"350450 Avaré",13
"350460 Bady Bassitt",5
"350480 Bálsamo",2
"350500 Barão de Antonina",2
"350520 Bariri",7
"350530 Barra Bonita",5
"350535 Barra do Chapéu",2
"350540 Barra do Turvo",9
"350550 Barretos",21
"350560 Barrinha",21
"350570 Barueri",37
"350580 Bastos",8
"350590 Batatais",23
"350600 Bauru",482
"350610 Bebedouro",13
"350630 Bernardino de Campos",1
"350635 Bertioga",16
"350640 Bilac",2
"350650 Birigui",62
"350660 Biritiba-Mirim",12
"350670 Boa Esperança do Sul",5
"350680 Bocaina",3
"350690 Bofete",5
"350700 Boituva",8
"350710 Bom Jesus dos Perdões",12
"350740 Borborema",2
"350750 Botucatu",109
"350760 Bragança Paulista",41
"350780 Brodowski",8
"350790 Brotas",1
"350800 Buri",4
"350810 Buritama",4
"350830 Cabrália Paulista",2
"350840 Cabreúva",7
"350850 Caçapava",22
"350860 Cachoeira Paulista",6
"350870 Caconde",1
"350880 Cafelândia",12
"350900 Caieiras",24
"350920 Cajamar",9
"350925 Cajati",31
"350930 Cajobi",1
"350940 Cajuru",7
"350950 Campinas",346
"350960 Campo Limpo Paulista",7
"350970 Campos do Jordão",7
"350980 Campos Novos Paulista",1
"350990 Cananéia",5
"350995 Canas",3
"351000 Cândido Mota",15
"351015 Canitar",3
"351020 Capão Bonito",10
"351030 Capela do Alto",3
"351040 Capivari",6
"351050 Caraguatatuba",47
"351060 Carapicuíba",354
"351070 Cardoso",6
"351080 Casa Branca",5
"351090 Cássia dos Coqueiros",1
"351100 Castilho",2
"351110 Catanduva",15
"351120 Catiguá",5
"351130 Cedral",5
"351140 Cerqueira César",5
"351150 Cerquilho",2
"351160 Cesário Lange",3
"351170 Charqueada",7
"355720 Chavantes",2
"351190 Clementina",3
"351200 Colina",2
"351210 Colômbia",5
"351220 Conchal",5
"351230 Conchas",4
"351240 Cordeirópolis",3
"351250 Coroados",6
"351260 Coronel Macedo",1
"351280 Cosmópolis",16
"351290 Cosmorama",2
"351300 Cotia",43
"351310 Cravinhos",24
"351340 Cruzeiro",2
"351350 Cubatão",166
"351360 Cunha",2
"351370 Descalvado",1
"351380 Diadema",187
"351400 Dobrada",1
"351410 Dois Córregos",5
"351430 Dourado",2
"351440 Dracena",23
"351450 Duartina",3
"351470 Echaporã",5
"351480 Eldorado",12
"351490 Elias Fausto",2
"351500 Embu das Artes",271
"351510 Embu-Guaçu",40
"351512 Emilianópolis",6
"351518 Espírito Santo do Pinhal",13
"355730 Estiva Gerbi",2
"351520 Estrela d'Oeste",2
"351535 Euclides da Cunha Paulista",2
"351540 Fartura",4
"351550 Fernandópolis",12
"351570 Ferraz de Vasconcelos",110
"351600 Flórida Paulista",2
"351620 Franca",29
"351630 Francisco Morato",111
"351640 Franco da Rocha",72
"351650 Gabriel Monteiro",1
"351660 Gália",4
"351670 Garça",18
"351700 Getulina",4
"351710 Glicério",1
"351720 Guaiçara",12
"351730 Guaimbê",2
"351740 Guaíra",1
"351750 Guapiaçu",15
"351760 Guapiara",4
"351770 Guará",3
"351790 Guaraci",1
"351810 Guarantã",6
"351820 Guararapes",4
"351830 Guararema",2
"351840 Guaratinguetá",24
"351850 Guareí",8
"351860 Guariba",20
"351870 Guarujá",196
"351880 Guarulhos",968
"351885 Guatapará",5
"351900 Herculândia",5
"351905 Holambra",4
"351907 Hortolândia",34
"351910 Iacanga",3
"351930 Ibaté",5
"351940 Ibirá",7
"351950 Ibirarema",1
"351960 Ibitinga",11
"351970 Ibiúna",11
"351980 Icém",3
"351990 Iepê",6
"352000 Igaraçu do Tietê",1
"352020 Igaratá",3
"352030 Iguape",27
"352042 Ilha Comprida",12
"352044 Ilha Solteira",1
"352040 Ilhabela",11
"352050 Indaiatuba",75
"352060 Indiana",1
"352070 Indiaporã",2
"352090 Ipaussu",5
"352100 Iperó",5
"352115 Ipiguá",1
"352120 Iporanga",2
"352140 Iracemápolis",1
"352160 Irapuru",5
"352170 Itaberá",2
"352180 Itaí",13
"352190 Itajobi",1
"352210 Itanhaém",31
"352215 Itaóca",2
"352220 Itapecerica da Serra",130
"352230 Itapetininga",44
"352240 Itapeva",10
"352250 Itapevi",96
"352260 Itapira",6
"352265 Itapirapuã Paulista",2
"352270 Itápolis",8
"352280 Itaporanga",1
"352290 Itapuí",1
"352300 Itapura",2
"352310 Itaquaquecetuba",395
"352320 Itararé",10
"352330 Itariri",7
"352340 Itatiba",12
"352350 Itatinga",30
"352360 Itirapina",8
"352380 Itobi",1
"352390 Itu",21
"352400 Itupeva",4
"352410 Ituverava",2
"352430 Jaboticabal",39
"352440 Jacareí",159
"352450 Jaci",1
"352460 Jacupiranga",14
"352470 Jaguariúna",15
"352480 Jales",13
"352490 Jambeiro",1
"352500 Jandira",54
"352510 Jardinópolis",21
"352520 Jarinu",6
"352530 Jaú",39
"352550 Joanópolis",4
"352560 João Ramalho",1
"352570 José Bonifácio",12
"352580 Júlio Mesquita",4
"352590 Jundiaí",102
"352600 Junqueirópolis",12
"352610 Juquiá",6
"352620 Juquitiba",12
"352640 Laranjal Paulista",9
"352650 Lavínia",1
"352670 Leme",28
"352680 Lençóis Paulista",13
"352690 Limeira",113
"352700 Lindóia",1
"352710 Lins",29
"352720 Lorena",30
"352725 Lourdes",1
"352730 Louveira",12
"352740 Lucélia",12
"352760 Luís Antônio",9
"352780 Lupércio",3
"352800 Macatuba",3
"352840 Mairinque",4
"352850 Mairiporã",29
"352860 Manduri",3
"352870 Marabá Paulista",3
"352880 Maracaí",1
"352890 Mariápolis",1
"352900 Marília",158
"352920 Martinópolis",13
"352930 Matão",2
"352940 Mauá",201
"352950 Mendonça",2
"352970 Miguelópolis",1
"352980 Mineiros do Tietê",3
"352990 Miracatu",9
"353010 Mirandópolis",3
"353020 Mirante do Paranapanema",9
"353030 Mirassol",12
"353050 Mococa",4
"353060 Mogi das Cruzes",170
"353070 Mogi Guaçu",51
"353080 Mogi Mirim",18
"353090 Mombuca",1
"353110 Mongaguá",43
"353130 Monte Alto",7
"353140 Monte Aprazível",8
"353150 Monte Azul Paulista",2
"353180 Monte Mor",16
"353170 Monteiro Lobato",2
"353200 Morungaba",1
"353205 Motuca",1
"353210 Murutinga do Sul",1
"353215 Nantes",1
"353220 Narandiba",7
"353230 Natividade da Serra",1
"353240 Nazaré Paulista",3
"353250 Neves Paulista",4
"353270 Nipoã",2
"353280 Nova Aliança",1
"353282 Nova Campina",1
"353284 Nova Canaã Paulista",2
"353300 Nova Granada",16
"353310 Nova Guataporanga",1
"353320 Nova Independência",1
"353340 Nova Odessa",10
"353350 Novo Horizonte",5
"353360 Nuporanga",1
"353370 Ocauçu",7
"353390 Olímpia",17
"353410 Oriente",6
"353420 Orindiúva",1
"353430 Orlândia",3
"353440 Osasco",418
"353450 Oscar Bressane",2
"353460 Osvaldo Cruz",17
"353470 Ourinhos",53
"353480 Ouro Verde",6
"353490 Pacaembu",3
"353500 Palestina",4
"353510 Palmares Paulista",2
"353520 Palmeira d'Oeste",4
"353530 Palmital",7
"353540 Panorama",15
"353550 Paraguaçu Paulista",7
"353560 Paraibuna",9
"353590 Paranapuã",2
"353600 Parapuã",3
"353610 Pardinho",6
"353620 Pariquera-Açu",8
"353640 Paulicéia",2
"353650 Paulínia",29
"353657 Paulistânia",1
"353660 Paulo de Faria",2
"353670 Pederneiras",12
"353710 Pedreira",7
"353715 Pedrinhas Paulista",1
"353720 Pedro de Toledo",6
"353730 Penápolis",1
"353740 Pereira Barreto",2
"353760 Peruíbe",70
"353770 Piacatu",3
"353780 Piedade",1
"353790 Pilar do Sul",12
"353800 Pindamonhangaba",29
"353810 Pindorama",1
"353820 Pinhalzinho",2
"353830 Piquerobi",1
"353850 Piquete",5
"353860 Piracaia",22
"353870 Piracicaba",33
"353880 Piraju",12
"353890 Pirajuí",24
"353900 Pirangi",2
"353910 Pirapora do Bom Jesus",7
"353920 Pirapozinho",24
"353930 Pirassununga",12
"353940 Piratininga",7
"353950 Pitangueiras",25
"353960 Planalto",3
"353970 Platina",1
"353980 Poá",38
"353990 Poloni",1
"354000 Pompéia",9
"354020 Pontal",36
"354025 Pontalinda",2
"354040 Populina",3
"354050 Porangaba",1
"354060 Porto Feliz",1
"354070 Porto Ferreira",24
"354075 Potim",5
"354080 Potirendaba",13
"354090 Pradópolis",5
"354100 Praia Grande",324
"354105 Pratânia",5
"354110 Presidente Alves",5
"354120 Presidente Bernardes",3
"354130 Presidente Epitácio",19
"354140 Presidente Prudente",122
"354150 Presidente Venceslau",21
"354160 Promissão",12
"354170 Quatá",3
"354180 Queiroz",1
"354200 Quintana",4
"354220 Rancharia",9
"354240 Regente Feijó",11
"354250 Reginópolis",4
"354260 Registro",18
"354290 Ribeirão Bonito",2
"354300 Ribeirão Branco",2
"354320 Ribeirão do Sul",1
"354325 Ribeirão Grande",1
"354330 Ribeirão Pires",27
"354340 Ribeirão Preto",250
"354370 Rincão",1
"354380 Rinópolis",3
"354390 Rio Claro",76
"354400 Rio das Pedras",5
"354410 Rio Grande da Serra",24
"354420 Riolândia",1
"354350 Riversul",2
"354425 Rosana",2
"354480 Sales",1
"354490 Sales Oliveira",1
"354500 Salesópolis",1
"354510 Salmourão",2
"354515 Saltinho",1
"354520 Salto",18
"354530 Salto de Pirapora",6
"354540 Salto Grande",2
"354550 Sandovalina",2
"354560 Santa Adélia",4
"354570 Santa Albertina",2
"354580 Santa Bárbara d'Oeste",43
"354600 Santa Branca",7
"354630 Santa Cruz das Palmeiras",2
"354640 Santa Cruz do Rio Pardo",8
"354650 Santa Ernestina",4
"354660 Santa Fé do Sul",8
"354670 Santa Gertrudes",9
"354680 Santa Isabel",32
"354690 Santa Lúcia",1
"354700 Santa Maria da Serra",1
"354710 Santa Mercedes",1
"354750 Santa Rita do Passa Quatro",10
"354760 Santa Rosa de Viterbo",13
"354730 Santana de Parnaíba",35
"354770 Santo Anastácio",3
"354780 Santo André",236
"354790 Santo Antônio da Alegria",2
"354800 Santo Antônio de Posse",2
"354840 Santópolis do Aguapeí",1
"354850 Santos",208
"354860 São Bento do Sapucaí",2
"354870 São Bernardo do Campo",348
"354880 São Caetano do Sul",10
"354890 São Carlos",80
"354910 São João da Boa Vista",11
"354920 São João das Duas Pontes",1
"354925 São João de Iracema",1
"354940 São Joaquim da Barra",10
"354950 São José da Bela Vista",2
"354960 São José do Barreiro",1
"354970 São José do Rio Pardo",2
"354980 São José do Rio Preto",154
"354990 São José dos Campos",339
"354995 São Lourenço da Serra",13
"355000 São Luís do Paraitinga",3
"355010 São Manuel",44
"355020 São Miguel Arcanjo",6
"355030 São Paulo",5548
"355040 São Pedro",6
"355050 São Pedro do Turvo",3
"355060 São Roque",11
"355070 São Sebastião",112
"355090 São Simão",7
"355100 São Vicente",339
"355110 Sarapuí",1
"355120 Sarutaiá",1
"355140 Serra Azul",5
"355160 Serra Negra",6
"355150 Serrana",30
"355170 Sertãozinho",51
"355180 Sete Barras",4
"355190 Severínia",5
"355210 Socorro",8
"355220 Sorocaba",223
"355230 Sud Mennucci",2
"355240 Sumaré",116
"355255 Suzanápolis",1
"355250 Suzano",128
"355270 Tabatinga",1
"355280 Taboão da Serra",182
"355290 Taciba",5
"355300 Taguaí",3
"355330 Tambaú",1
"355340 Tanabi",15
"355350 Tapiraí",1
"355360 Tapiratiba",1
"355370 Taquaritinga",21
"355380 Taquarituba",7
"355385 Taquarivaí",2
"355390 Tarabai",9
"355395 Tarumã",2
"355400 Tatuí",20
"355410 Taubaté",218
"355420 Tejupá",5
"355430 Teodoro Sampaio",17
"355440 Terra Roxa",1
"355465 Torre de Pedra",1
"355470 Torrinha",1
"355480 Tremembé",36
"355490 Três Fronteiras",3
"355500 Tupã",15
"355510 Tupi Paulista",21
"355535 Ubarana",3
"355540 Ubatuba",73
"355550 Ubirajara",4
"355560 Uchoa",4
"355580 Urânia",2
"355610 Valentim Gentil",3
"355620 Valinhos",15
"355630 Valparaíso",7
"355635 Vargem",4
"355640 Vargem Grande do Sul",8
"355645 Vargem Grande Paulista",6
"355650 Várzea Paulista",17
"355660 Vera Cruz",4
"355670 Vinhedo",15
"355680 Viradouro",4
"355700 Votorantim",9
"355710 Votuporanga",12
"350000 Município ignorado - SP",1
"410010 Abatiá",1
"410020 Adrianópolis",3
"410030 Agudos do Sul",7
"410040 Almirante Tamandaré",146
"410045 Altamira do Paraná",1
"412862 Alto Paraíso",1
"410060 Alto Paraná",4
"410050 Altônia",4
