"cidade","hepatites"
"314590 Ouro Branco",10
"314600 Ouro Fino",11
"314610 Ouro Preto",28
"314620 Ouro Verde de Minas",3
"314630 Padre Paraíso",14
"314650 Pains",1
"314670 Palma",1
"314690 Papagaios",5
"314710 Pará de Minas",37
"314700 Paracatu",7
"314720 Paraguaçu",8
"314730 Paraisópolis",6
"314740 Paraopeba",12
"314760 Passa Quatro",5
"314770 Passa Tempo",1
"314750 Passabém",2
"314790 Passos",101
"314795 Patis",2
"314800 Patos de Minas",42
"314810 Patrocínio",23
"314820 Patrocínio do Muriaé",2
"314830 Paula Cândido",3
"314840 Paulistas",2
"314850 Pavão",2
"314860 Peçanha",2
"314870 Pedra Azul",4
"314880 Pedra do Anta",1
"314890 Pedra do Indaiá",1
"314900 Pedra Dourada",1
"314910 Pedralva",3
"314915 Pedras de Maria da Cruz",1
"314920 Pedrinópolis",3
"314930 Pedro Leopoldo",16
"314950 Pequeri",4
"314970 Perdigão",1
"314980 Perdizes",5
"314990 Perdões",7
"314995 Periquito",6
"315000 Pescador",2
"315010 Piau",2
"315015 Piedade de Caratinga",2
"315030 Piedade do Rio Grande",1
"315040 Piedade dos Gerais",1
"315050 Pimenta",2
"315070 Pirajuba",1
"315090 Piranguçu",2
"315100 Piranguinho",3
"315120 Pirapora",36
"315130 Piraúba",1
"315140 Pitangui",8
"315150 Piumhi",10
"315160 Planura",7
"315170 Poço Fundo",4
"315180 Poços de Caldas",152
"315200 Pompéu",21
"315210 Ponte Nova",28
"315220 Porteirinha",6
"315230 Porto Firme",3
"315240 Poté",7
"315250 Pouso Alegre",73
"315260 Pouso Alto",5
"315270 Prados",2
"315280 Prata",23
"315290 Pratápolis",5
"315310 Presidente Bernardes",1
"315340 Presidente Olegário",4
"315360 Prudente de Morais",1
"315380 Queluzito",1
"315390 Raposos",9
"315400 Raul Soares",5
"315410 Recreio",1
"315415 Reduto",1
"315420 Resende Costa",2
"315430 Resplendor",7
"315440 Ressaquinha",1
"315445 Riachinho",1
"315460 Ribeirão das Neves",150
"315480 Rio Acima",3
"315490 Rio Casca",1
"315510 Rio do Prado",3
"315530 Rio Manso",1
"315540 Rio Novo",5
"315550 Rio Paranaíba",2
"315560 Rio Pardo de Minas",2
"315570 Rio Piracicaba",1
"315580 Rio Pomba",1
"315590 Rio Preto",1
"315600 Rio Vermelho",5
"315610 Ritápolis",1
"315630 Rodeiro",5
"315640 Romaria",1
"315645 Rosário da Limeira",2
"315660 Rubim",1
"315670 Sabará",96
"315680 Sabinópolis",4
"315690 Sacramento",17
"315700 Salinas",3
"315710 Salto da Divisa",1
"315720 Santa Bárbara",3
"315730 Santa Bárbara do Tugúrio",1
"315733 Santa Cruz de Minas",5
"315740 Santa Cruz do Escalvado",1
"315760 Santa Fé de Minas",2
"315765 Santa Helena de Minas",8
"315770 Santa Juliana",7
"315780 Santa Luzia",140
"315790 Santa Margarida",5
"315800 Santa Maria de Itabira",2
"315810 Santa Maria do Salto",1
"315820 Santa Maria do Suaçuí",3
"315920 Santa Rita de Caldas",2
"315930 Santa Rita de Jacutinga",2
"315935 Santa Rita de Minas",2
"315950 Santa Rita do Itueto",1
"315960 Santa Rita do Sapucaí",18
"315970 Santa Rosa da Serra",2
"315980 Santa Vitória",6
"315830 Santana da Vargem",2
"315840 Santana de Cataguases",2
"315850 Santana de Pirapama",1
"315860 Santana do Deserto",1
"315880 Santana do Jacaré",3
"315890 Santana do Manhuaçu",3
"315895 Santana do Paraíso",24
"315900 Santana do Riacho",2
"315990 Santo Antônio do Amparo",3
"316010 Santo Antônio do Grama",1
"316030 Santo Antônio do Jacinto",1
"316040 Santo Antônio do Monte",10
"316045 Santo Antônio do Retiro",1
"316050 Santo Antônio do Rio Abaixo",1
"316070 Santos Dumont",11
"316095 São Domingos das Dores",2
"316100 São Domingos do Prata",5
"316110 São Francisco",6
"316120 São Francisco de Paula",2
"316130 São Francisco de Sales",5
"316140 São Francisco do Glória",1
"316150 São Geraldo",1
"316160 São Geraldo da Piedade",10
"316165 São Geraldo do Baixio",1
"316170 São Gonçalo do Abaeté",1
"316180 São Gonçalo do Pará",2
"316190 São Gonçalo do Rio Abaixo",19
"316200 São Gonçalo do Sapucaí",8
"316210 São Gotardo",9
"316220 São João Batista do Glória",5
"316245 São João das Missões",10
"316250 São João del Rei",36
"316260 São João do Oriente",4
"316265 São João do Pacuí",3
"316270 São João do Paraíso",2
"316280 São João Evangelista",2
"316290 São João Nepomuceno",7
"316292 São Joaquim de Bicas",23
"316295 São José da Lapa",9
"316310 São José da Varginha",1
"316320 São José do Alegre",1
"316330 São José do Divino",1
"316340 São José do Goiabal",2
"316360 São José do Mantimento",1
"316370 São Lourenço",26
"316390 São Pedro da União",2
"316410 São Pedro do Suaçuí",1
"316400 São Pedro dos Ferros",1
"316420 São Romão",1
"316430 São Roque de Minas",2
"316440 São Sebastião da Bela Vista",2
"316447 São Sebastião do Anta",1
"316450 São Sebastião do Maranhão",2
"316460 São Sebastião do Oeste",3
"316470 São Sebastião do Paraíso",46
"316480 São Sebastião do Rio Preto",1
"316490 São Sebastião do Rio Verde",2
"316520 São Thomé das Letras",6
"316530 São Vicente de Minas",1
"316540 Sapucaí-Mirim",1
"316553 Sarzedo",11
"316557 Senador Amaral",2
"316590 Senador Modestino Gonçalves",1
"316600 Senhora de Oliveira",1
"316610 Senhora do Porto",1
"316630 Sericita",1
"316650 Serra Azul de Minas",4
"316680 Serra do Salitre",2
"316690 Serrania",6
"316710 Serro",5
"316720 Sete Lagoas",49
"316555 Setubinha",1
"316730 Silveirânia",1
"316740 Silvianópolis",1
"316750 Simão Pereira",5
"316760 Simonésia",3
"316770 Sobrália",4
"316780 Soledade de Minas",3
"316790 Tabuleiro",2
"316800 Taiobeiras",2
"316805 Taparuba",1
"316810 Tapira",1
"316820 Tapiraí",3
"316840 Tarumirim",3
"316850 Teixeiras",2
"316860 Teófilo Otoni",117
"316870 Timóteo",61
"316880 Tiradentes",1
"316890 Tiros",1
"316900 Tocantins",6
"316910 Toledo",3
"316920 Tombos",8
"316930 Três Corações",41
"316935 Três Marias",7
"316940 Três Pontas",35
"316950 Tumiritinga",4
"316960 Tupaciguara",10
"316970 Turmalina",11
"316980 Turvolândia",2
"316990 Ubá",33
"317000 Ubaí",1
"317005 Ubaporanga",2
"317010 Uberaba",413
"317020 Uberlândia",585
"317030 Umburatiba",2
"317040 Unaí",15
"317050 Urucânia",3
"317052 Urucuia",2
"317057 Vargem Alegre",2
"317065 Vargem Grande do Rio Pardo",1
"317070 Varginha",107
"317075 Varjão de Minas",4
"317080 Várzea da Palma",10
"317090 Varzelândia",1
"317100 Vazante",6
"317103 Verdelândia",2
"317110 Veríssimo",3
"317120 Vespasiano",72
"317130 Viçosa",41
"317140 Vieiras",1
"317160 Virgem da Lapa",1
"317170 Virgínia",1
"317190 Virgolândia",4
"317200 Visconde do Rio Branco",5
"310000 Município ignorado - MG",2
"320010 Afonso Cláudio",15
"320016 Água Doce do Norte",4
"320020 Alegre",5
"320030 Alfredo Chaves",8
"320035 Alto Rio Novo",1
"320040 Anchieta",38
"320060 Aracruz",33
"320070 Atilio Vivacqua",4
"320080 Baixo Guandu",19
"320090 Barra de São Francisco",12
"320100 Boa Esperança",10
"320115 Brejetuba",1
"320120 Cachoeiro de Itapemirim",51
"320130 Cariacica",175
"320140 Castelo",40
"320150 Colatina",115
"320160 Conceição da Barra",12
"320170 Conceição do Castelo",6
"320190 Domingos Martins",8
"320200 Dores do Rio Preto",2
"320210 Ecoporanga",11
"320220 Fundão",10
"320225 Governador Lindenberg",10
"320230 Guaçuí",8
"320240 Guarapari",176
"320245 Ibatiba",1
"320250 Ibiraçu",3
"320260 Iconha",8
"320270 Itaguaçu",9
"320280 Itapemirim",19
"320290 Itarana",9
"320300 Iúna",13
"320305 Jaguaré",31
"320310 Jerônimo Monteiro",9
"320313 João Neiva",4
"320316 Laranja da Terra",3
"320320 Linhares",85
"320332 Marataízes",10
"320334 Marechal Floriano",11
"320335 Marilândia",11
"320340 Mimoso do Sul",2
"320350 Montanha",8
"320360 Mucurici",1
"320370 Muniz Freire",4
"320380 Muqui",3
"320390 Nova Venécia",45
"320400 Pancas",15
"320405 Pedro Canário",10
"320410 Pinheiros",17
"320420 Piúma",11
"320425 Ponto Belo",4
"320430 Presidente Kennedy",2
"320435 Rio Bananal",24
"320440 Rio Novo do Sul",8
"320450 Santa Leopoldina",2
"320455 Santa Maria de Jetibá",23
"320460 Santa Teresa",10
"320465 São Domingos do Norte",4
"320470 São Gabriel da Palha",40
"320480 São José do Calçado",4
"320490 São Mateus",121
"320495 São Roque do Canaã",4
"320500 Serra",331
"320501 Sooretama",7
"320503 Vargem Alta",15
"320506 Venda Nova do Imigrante",16
"320510 Viana",35
"320515 Vila Pavão",9
"320517 Vila Valério",21
"320520 Vila Velha",306
"320530 Vitória",374
"330010 Angra dos Reis",72
"330015 Aperibé",5
"330020 Araruama",49
"330022 Areal",1
"330023 Armação dos Búzios",48
"330025 Arraial do Cabo",12
"330030 Barra do Piraí",22
"330040 Barra Mansa",86
"330045 Belford Roxo",182
"330050 Bom Jardim",3
"330060 Bom Jesus do Itabapoana",9
"330070 Cabo Frio",75
"330080 Cachoeiras de Macacu",12
"330090 Cambuci",2
"330100 Campos dos Goytacazes",102
"330110 Cantagalo",5
"330093 Carapebus",5
"330115 Cardoso Moreira",1
"330120 Carmo",2
"330130 Casimiro de Abreu",6
"330095 Comendador Levy Gasparian",4
"330140 Conceição de Macabu",3
"330150 Cordeiro",2
"330160 Duas Barras",4
"330170 Duque de Caxias",516
"330180 Engenheiro Paulo de Frontin",5
"330185 Guapimirim",104
"330187 Iguaba Grande",11
"330190 Itaboraí",100
"330200 Itaguaí",14
"330205 Italva",5
"330210 Itaocara",6
"330220 Itaperuna",68
"330225 Itatiaia",10
"330227 Japeri",60
"330230 Laje do Muriaé",4
"330240 Macaé",199
"330250 Magé",163
"330260 Mangaratiba",14
"330270 Maricá",88
"330280 Mendes",6
"330285 Mesquita",69
"330290 Miguel Pereira",14
"330300 Miracema",6
"330310 Natividade",8
"330320 Nilópolis",60
"330330 Niterói",495
"330340 Nova Friburgo",46
"330350 Nova Iguaçu",469
"330360 Paracambi",16
"330370 Paraíba do Sul",8
"330380 Paraty",51
"330385 Paty do Alferes",6
"330390 Petrópolis",156
"330395 Pinheiral",10
"330400 Piraí",9
"330410 Porciúncula",11
"330411 Porto Real",5
"330412 Quatis",1
"330414 Queimados",55
"330415 Quissamã",12
"330420 Resende",56
"330430 Rio Bonito",14
"330440 Rio Claro",3
"330450 Rio das Flores",4
"330452 Rio das Ostras",68
"330455 Rio de Janeiro",4520
"330460 Santa Maria Madalena",1
"330470 Santo Antônio de Pádua",8
"330480 São Fidélis",15
"330475 São Francisco de Itabapoana",4
"330490 São Gonçalo",468
"330500 São João da Barra",8
"330510 São João de Meriti",267
"330513 São José de Ubá",1
"330515 São José do Vale do Rio Preto",4
"330520 São Pedro da Aldeia",21
"330530 São Sebastião do Alto",1
"330540 Sapucaia",2
"330550 Saquarema",82
"330555 Seropédica",17
"330560 Silva Jardim",5
"330575 Tanguá",3
"330580 Teresópolis",44
"330590 Trajano de Moraes",2
"330600 Três Rios",51
"330610 Valença",29
"330615 Varre-Sai",4
"330620 Vassouras",12
"330630 Volta Redonda",198
"350010 Adamantina",31
"350020 Adolfo",10
"350030 Aguaí",44
"350040 Águas da Prata",4
"350050 Águas de Lindóia",12
"350055 Águas de Santa Bárbara",1
"350060 Águas de São Pedro",6
"350070 Agudos",10
"350075 Alambari",3
"350080 Alfredo Marcondes",3
"350090 Altair",1
"350100 Altinópolis",6
"350110 Alto Alegre",1
"350115 Alumínio",13
"350120 Álvares Florence",1
"350130 Álvares Machado",5
"350140 Álvaro de Carvalho",19
"350150 Alvinlândia",7
"350160 Americana",158
"350170 Américo Brasiliense",14
"350180 Américo de Campos",7
"350190 Amparo",76
"350210 Andradina",133
"350220 Angatuba",8
"350230 Anhembi",2
"350240 Anhumas",2
"350250 Aparecida",38
"350260 Aparecida d'Oeste",5
"350270 Apiaí",11
"350275 Araçariguama",16
"350280 Araçatuba",159
"350290 Araçoiaba da Serra",10
"350300 Aramina",3
"350310 Arandu",3
"350320 Araraquara",210
"350330 Araras",163
"350340 Arealva",3
"350360 Areiópolis",2
"350370 Ariranha",2
"350380 Artur Nogueira",14
"350390 Arujá",60
"350395 Aspásia",1
"350400 Assis",55
"350410 Atibaia",121
"350420 Auriflama",3
"350430 Avaí",4
"350440 Avanhandava",10
"350450 Avaré",32
"350460 Bady Bassitt",23
"350470 Balbinos",63
"350480 Bálsamo",7
"350490 Bananal",1
"350510 Barbosa",3
"350520 Bariri",11
"350530 Barra Bonita",14
"350540 Barra do Turvo",5
"350550 Barretos",242
"350560 Barrinha",22
"350570 Barueri",278
"350580 Bastos",5
"350590 Batatais",59
"350600 Bauru",312
"350610 Bebedouro",220
"350630 Bernardino de Campos",11
"350635 Bertioga",41
"350640 Bilac",4
"350650 Birigui",76
"350660 Biritiba-Mirim",13
"350670 Boa Esperança do Sul",10
"350680 Bocaina",7
"350690 Bofete",6
"350700 Boituva",54
"350710 Bom Jesus dos Perdões",10
"350740 Borborema",6
"350750 Botucatu",87
"350760 Bragança Paulista",109
"350770 Braúna",1
"350780 Brodowski",16
"350790 Brotas",4
"350800 Buri",3
"350810 Buritama",12
"350820 Buritizal",1
"350840 Cabreúva",8
"350850 Caçapava",55
"350860 Cachoeira Paulista",7
"350870 Caconde",5
"350880 Cafelândia",6
"350890 Caiabu",1
"350900 Caieiras",42
"350910 Caiuá",13
"350920 Cajamar",53
"350925 Cajati",8
"350930 Cajobi",3
"350940 Cajuru",14
"350950 Campinas",1015
"350960 Campo Limpo Paulista",37
"350970 Campos do Jordão",65
"350980 Campos Novos Paulista",1
"350990 Cananéia",1
"350995 Canas",2
"351000 Cândido Mota",10
"351010 Cândido Rodrigues",2
"351015 Canitar",1
"351020 Capão Bonito",19
"351030 Capela do Alto",21
"351040 Capivari",34
"351050 Caraguatatuba",248
"351060 Carapicuíba",304
"351070 Cardoso",8
"351080 Casa Branca",37
"351090 Cássia dos Coqueiros",2
"351100 Castilho",12
"351110 Catanduva",179
"351120 Catiguá",4
"351130 Cedral",13
"351140 Cerqueira César",5
"351150 Cerquilho",33
"351160 Cesário Lange",2
"351170 Charqueada",14
"355720 Chavantes",4
"351200 Colina",16
"351210 Colômbia",7
"351220 Conchal",16
"351230 Conchas",8
"351240 Cordeirópolis",12
"351250 Coroados",2
"351270 Corumbataí",3
"351280 Cosmópolis",13
"351290 Cosmorama",6
"351300 Cotia",191
"351310 Cravinhos",31
"351320 Cristais Paulista",1
"351340 Cruzeiro",37
"351350 Cubatão",232
"351360 Cunha",1
"351370 Descalvado",22
"351380 Diadema",450
"351385 Dirce Reis",1
"351390 Divinolândia",3
"351400 Dobrada",1
"351410 Dois Córregos",7
"351430 Dourado",1
"351440 Dracena",28
"351450 Duartina",3
"351460 Dumont",3
"351470 Echaporã",2
"351480 Eldorado",3
"351490 Elias Fausto",6
"351492 Elisiário",4
"351495 Embaúba",3
"351500 Embu das Artes",117
"351510 Embu-Guaçu",36
"351512 Emilianópolis",5
"351515 Engenheiro Coelho",6
"351518 Espírito Santo do Pinhal",23
"351519 Espírito Santo do Turvo",4
"355730 Estiva Gerbi",4
"351520 Estrela d'Oeste",1
"351530 Estrela do Norte",3
"351535 Euclides da Cunha Paulista",3
"351540 Fartura",2
"351560 Fernando Prestes",2
"351550 Fernandópolis",47
"351565 Fernão",3
"351570 Ferraz de Vasconcelos",128
"351580 Flora Rica",1
"351590 Floreal",4
"351600 Flórida Paulista",2
"351610 Florínia",4
"351620 Franca",312
"351630 Francisco Morato",109
"351640 Franco da Rocha",165
"351650 Gabriel Monteiro",1
"351660 Gália",2
"351670 Garça",41
"351685 Gavião Peixoto",2
"351690 General Salgado",5
"351700 Getulina",19
"351710 Glicério",2
"351720 Guaiçara",4
"351730 Guaimbê",7
"351740 Guaíra",57
"351750 Guapiaçu",24
"351760 Guapiara",8
"351770 Guará",7
"351780 Guaraçaí",5
"351790 Guaraci",4
"351800 Guarani d'Oeste",1
"351810 Guarantã",1
"351820 Guararapes",13
"351830 Guararema",40
"351840 Guaratinguetá",75
"351850 Guareí",60
"351860 Guariba",33
"351870 Guarujá",449
"351880 Guarulhos",1056
"351885 Guatapará",3
"351900 Herculândia",6
"351905 Holambra",4
"351907 Hortolândia",192
"351910 Iacanga",4
"351920 Iacri",6
"351925 Iaras",10
"351930 Ibaté",7
"351940 Ibirá",14
"351950 Ibirarema",1
"351960 Ibitinga",22
"351970 Ibiúna",41
"351980 Icém",9
"351990 Iepê",2
"352000 Igaraçu do Tietê",13
"352010 Igarapava",8
"352020 Igaratá",11
"352030 Iguape",13
"352042 Ilha Comprida",27
"352044 Ilha Solteira",18
"352040 Ilhabela",163
"352050 Indaiatuba",122
"352060 Indiana",5
"352070 Indiaporã",3
"352090 Ipaussu",5
"352100 Iperó",34
"352110 Ipeúna",6
"352115 Ipiguá",2
"352120 Iporanga",5
"352130 Ipuã",5
"352140 Iracemápolis",9
"352150 Irapuã",3
"352160 Irapuru",17
"352170 Itaberá",8
"352180 Itaí",7
"352190 Itajobi",11
"352200 Itaju",1
"352210 Itanhaém",228
"352215 Itaóca",2
"352220 Itapecerica da Serra",96
"352230 Itapetininga",107
"352240 Itapeva",69
"352250 Itapevi",166
"352260 Itapira",139
"352265 Itapirapuã Paulista",4
"352270 Itápolis",21
"352280 Itaporanga",3
"352290 Itapuí",2
"352300 Itapura",5
"352310 Itaquaquecetuba",207
"352320 Itararé",17
"352330 Itariri",8
"352340 Itatiba",127
"352350 Itatinga",7
"352360 Itirapina",43
"352370 Itirapuã",3
"352380 Itobi",1
"352390 Itu",93
"352400 Itupeva",31
"352410 Ituverava",33
"352420 Jaborandi",1
"352430 Jaboticabal",95
"352440 Jacareí",242
"352450 Jaci",4
"352460 Jacupiranga",5
"352470 Jaguariúna",61
"352480 Jales",37
"352490 Jambeiro",3
"352500 Jandira",77
"352510 Jardinópolis",68
"352520 Jarinu",16
"352530 Jaú",84
"352550 Joanópolis",4
"352570 José Bonifácio",20
"352580 Júlio Mesquita",3
"352590 Jundiaí",266
"352600 Junqueirópolis",13
"352610 Juquiá",11
"352620 Juquitiba",19
"352630 Lagoinha",3
"352640 Laranjal Paulista",17
"352650 Lavínia",27
"352670 Leme",126
"352680 Lençóis Paulista",35
"352690 Limeira",214
"352710 Lins",112
"352720 Lorena",43
"352730 Louveira",21
"352740 Lucélia",13
"352760 Luís Antônio",10
"352780 Lupércio",2
"352800 Macatuba",3
"352810 Macaubal",3
"352820 Macedônia",2
"352830 Magda",1
"352840 Mairinque",35
"352850 Mairiporã",53
"352860 Manduri",3
"352870 Marabá Paulista",15
"352880 Maracaí",11
"352885 Marapoama",3
"352890 Mariápolis",6
"352900 Marília",171
"352920 Martinópolis",17
"352930 Matão",58
"352940 Mauá",253
"352950 Mendonça",6
"352960 Meridiano",1
"352970 Miguelópolis",3
"352980 Mineiros do Tietê",3
"353000 Mira Estrela",2
"352990 Miracatu",3
"353010 Mirandópolis",47
"353020 Mirante do Paranapanema",16
"353030 Mirassol",61
"353040 Mirassolândia",4
"353050 Mococa",69
"353060 Mogi das Cruzes",313
"353070 Mogi Guaçu",261
"353080 Mogi Mirim",162
"353090 Mombuca",5
"353110 Mongaguá",52
"353120 Monte Alegre do Sul",2
"353130 Monte Alto",58
"353140 Monte Aprazível",21
"353150 Monte Azul Paulista",11
"353160 Monte Castelo",7
"353180 Monte Mor",29
"353170 Monteiro Lobato",2
"353190 Morro Agudo",11
"353200 Morungaba",1
"353205 Motuca",2
"353210 Murutinga do Sul",5
"353215 Nantes",1
"353220 Narandiba",1
"353240 Nazaré Paulista",5
"353250 Neves Paulista",3
"353260 Nhandeara",8
"353270 Nipoã",3
"353280 Nova Aliança",6
"353282 Nova Campina",1
"353284 Nova Canaã Paulista",1
"353286 Nova Castilho",2
"353290 Nova Europa",6
"353300 Nova Granada",10
"353310 Nova Guataporanga",2
"353320 Nova Independência",2
"353330 Nova Luzitânia",2
"353340 Nova Odessa",27
"353325 Novais",6
"353350 Novo Horizonte",11
"353370 Ocauçu",3
"353380 Óleo",1
"353390 Olímpia",50
"353400 Onda Verde",5
"353410 Oriente",3
"353420 Orindiúva",3
"353430 Orlândia",8
"353440 Osasco",467
"353460 Osvaldo Cruz",16
"353470 Ourinhos",105
"353480 Ouro Verde",4
"353475 Ouroeste",4
"353490 Pacaembu",8
"353500 Palestina",7
"353510 Palmares Paulista",3
"353520 Palmeira d'Oeste",4
"353530 Palmital",6
"353540 Panorama",8
"353550 Paraguaçu Paulista",15
"353560 Paraibuna",2
"353570 Paraíso",4
"353580 Paranapanema",5
"353590 Paranapuã",3
"353600 Parapuã",3
"353610 Pardinho",3
"353620 Pariquera-Açu",12
"353625 Parisi",1
"353630 Patrocínio Paulista",9
"353640 Paulicéia",5
"353650 Paulínia",114
"353660 Paulo de Faria",3
"353670 Pederneiras",27
"353680 Pedra Bela",3
"353690 Pedranópolis",2
"353700 Pedregulho",2
"353710 Pedreira",28
"353715 Pedrinhas Paulista",1
"353720 Pedro de Toledo",11
"353730 Penápolis",30
"353740 Pereira Barreto",15
"353750 Pereiras",4
"353760 Peruíbe",128
"353780 Piedade",13
"353790 Pilar do Sul",12
"353800 Pindamonhangaba",50
"353810 Pindorama",13
"353820 Pinhalzinho",12
"353830 Piquerobi",1
"353850 Piquete",3
"353860 Piracaia",7
"353870 Piracicaba",365
"353880 Piraju",13
"353890 Pirajuí",66
"353900 Pirangi",6
"353910 Pirapora do Bom Jesus",10
"353920 Pirapozinho",19
"353930 Pirassununga",72
"353940 Piratininga",5
"353950 Pitangueiras",13
"353960 Planalto",3
"353980 Poá",120
"353990 Poloni",2
"354000 Pompéia",10
"354020 Pontal",21
"354025 Pontalinda",1
"354030 Pontes Gestal",1
"354040 Populina",3
"354050 Porangaba",4
"354060 Porto Feliz",66
"354070 Porto Ferreira",27
"354075 Potim",17
"354080 Potirendaba",8
"354085 Pracinha",6
"354090 Pradópolis",6
"354100 Praia Grande",355
"354105 Pratânia",2
"354110 Presidente Alves",1
"354120 Presidente Bernardes",10
"354130 Presidente Epitácio",28
"354140 Presidente Prudente",209
"354150 Presidente Venceslau",31
"354160 Promissão",30
"354170 Quatá",6
"354180 Queiroz",1
"354190 Queluz",1
"354200 Quintana",2
"354210 Rafard",5
"354220 Rancharia",2
"354230 Redenção da Serra",1
"354240 Regente Feijó",9
"354250 Reginópolis",1
"354260 Registro",12
"354270 Restinga",4
"354290 Ribeirão Bonito",1
"354300 Ribeirão Branco",3
"354310 Ribeirão Corrente",1
"354320 Ribeirão do Sul",1
"354325 Ribeirão Grande",1
"354330 Ribeirão Pires",87
"354340 Ribeirão Preto",847
"354360 Rifaina",3
"354370 Rincão",6
"354380 Rinópolis",3
"354390 Rio Claro",174
"354400 Rio das Pedras",5
"354410 Rio Grande da Serra",21
"354420 Riolândia",20
"354350 Riversul",2
"354425 Rosana",13
"354430 Roseira",5
"354450 Rubinéia",4
"354460 Sabino",4
"354470 Sagres",1
"354480 Sales",5
"354490 Sales Oliveira",9
"354500 Salesópolis",3
"354510 Salmourão",2
"354515 Saltinho",4
"354520 Salto",83
"354530 Salto de Pirapora",34
"354540 Salto Grande",3
"354560 Santa Adélia",6
"354580 Santa Bárbara d'Oeste",110
"354600 Santa Branca",4
"354610 Santa Clara d'Oeste",4
"354620 Santa Cruz da Conceição",3
"354625 Santa Cruz da Esperança",1
"354630 Santa Cruz das Palmeiras",15
"354640 Santa Cruz do Rio Pardo",13
"354660 Santa Fé do Sul",36
"354670 Santa Gertrudes",5
"354680 Santa Isabel",42
"354690 Santa Lúcia",3
"354700 Santa Maria da Serra",2
"354710 Santa Mercedes",1
"354740 Santa Rita d'Oeste",5
"354750 Santa Rita do Passa Quatro",23
"354760 Santa Rosa de Viterbo",12
"354765 Santa Salete",2
"354730 Santana de Parnaíba",115
"354770 Santo Anastácio",21
"354780 Santo André",592
"354790 Santo Antônio da Alegria",1
"354800 Santo Antônio de Posse",6
"354805 Santo Antônio do Aracanguá",2
"354810 Santo Antônio do Jardim",3
"354820 Santo Antônio do Pinhal",5
"354830 Santo Expedito",2
"354850 Santos",721
"354860 São Bento do Sapucaí",8
"354870 São Bernardo do Campo",699
"354880 São Caetano do Sul",139
"354890 São Carlos",209
"354910 São João da Boa Vista",80
"354920 São João das Duas Pontes",1
"354925 São João de Iracema",1
"354930 São João do Pau d'Alho",2
"354940 São Joaquim da Barra",19
"354950 São José da Bela Vista",9
"354970 São José do Rio Pardo",19
"354980 São José do Rio Preto",545
"354990 São José dos Campos",747
"354995 São Lourenço da Serra",30
"355000 São Luís do Paraitinga",1
"355010 São Manuel",29
"355020 São Miguel Arcanjo",15
"355030 São Paulo",13850
"355040 São Pedro",50
"355050 São Pedro do Turvo",8
"355060 São Roque",33
"355070 São Sebastião",113
"355080 São Sebastião da Grama",2
"355090 São Simão",5
"355100 São Vicente",292
"355110 Sarapuí",4
"355130 Sebastianópolis do Sul",1
"355140 Serra Azul",29
"355160 Serra Negra",21
"355150 Serrana",44
"355170 Sertãozinho",119
"355190 Severínia",7
"355200 Silveiras",1
"355210 Socorro",39
"355220 Sorocaba",458
"355230 Sud Mennucci",8
"355240 Sumaré",165
"355255 Suzanápolis",4
"355250 Suzano",203
"355260 Tabapuã",3
"355270 Tabatinga",4
"355280 Taboão da Serra",252
"355290 Taciba",2
"355300 Taguaí",1
"355310 Taiaçu",11
"355320 Taiúva",9
"355330 Tambaú",11
"355340 Tanabi",39
"355350 Tapiraí",5
"355365 Taquaral",1
"355370 Taquaritinga",63
"355380 Taquarituba",9
"355385 Taquarivaí",1
"355390 Tarabai",1
"355395 Tarumã",2
"355400 Tatuí",69
"355410 Taubaté",262
"355420 Tejupá",1
"355430 Teodoro Sampaio",29
"355440 Terra Roxa",5
"355450 Tietê",20
"355460 Timburi",1
"355470 Torrinha",4
"355475 Trabiju",1
"355480 Tremembé",54
"355490 Três Fronteiras",5
"355495 Tuiuti",1
"355500 Tupã",58
"355510 Tupi Paulista",52
"355520 Turiúba",3
"355535 Ubarana",3
"355540 Ubatuba",132
"355550 Ubirajara",2
"355560 Uchoa",13
"355580 Urânia",8
"355590 Uru",1
"355600 Urupês",9
"355610 Valentim Gentil",7
"355620 Valinhos",114
"355630 Valparaíso",13
"355640 Vargem Grande do Sul",15
"355645 Vargem Grande Paulista",28
"355650 Várzea Paulista",61
"355660 Vera Cruz",11
"355670 Vinhedo",98
"355680 Viradouro",17
"355690 Vista Alegre do Alto",2
"355695 Vitória Brasil",1
"355700 Votorantim",64
"355710 Votuporanga",123
"355715 Zacarias",4
"350000 Município ignorado - SP",2
"410010 Abatiá",1
"410020 Adrianópolis",5
"410030 Agudos do Sul",4
"410040 Almirante Tamandaré",91
"410045 Altamira do Paraná",9
"412862 Alto Paraíso",1
"410060 Alto Paraná",8
"410070 Alto Piquiri",4
"410050 Altônia",5
"410080 Alvorada do Sul",3
"410090 Amaporã",3
"410100 Ampére",40
"410105 Anahy",3
"410110 Andirá",12
"410120 Antonina",12
"410130 Antônio Olinto",1
"410140 Apucarana",104
"410150 Arapongas",97
"410160 Arapoti",16
"410165 Arapuã",11
"410170 Araruna",16
"410180 Araucária",151
"410185 Ariranha do Ivaí",2
"410190 Assaí",7
"410200 Assis Chateaubriand",81
"410210 Astorga",13
"410220 Atalaia",5
"410230 Balsa Nova",8
"410240 Bandeirantes",20
"410250 Barbosa Ferraz",12
"410270 Barra do Jacaré",2
"410260 Barracão",52
"410275 Bela Vista da Caroba",11
"410280 Bela Vista do Paraíso",10
